,ms_uri_1,ms_uri_2
0,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__maricao,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__maricao
1,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038415,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038415
2,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096183,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096183
3,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10287493,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10287493
4,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036903,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036903
5,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001249,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001249
6,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001249,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001261
7,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001249,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001262
8,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001261,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001249
9,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001261,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001261
10,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001261,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001262
11,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001262,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001249
12,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001262,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001261
13,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001262,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001262
14,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10070518,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10070518
15,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10136732,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10136732
16,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10211051,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10211051
17,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048523,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048523
18,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048523,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__dunka-pit-2093
19,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048523,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__dunka-pit
20,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__dunka-pit-2093,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048523
21,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__dunka-pit-2093,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__dunka-pit-2093
