ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity,deposit_type
https://minmod.isi.edu/resource/mineral_site5da1a9edb28ba0b45218d536e1848995951d6ef4d2dcf5c19d3a1425e2731f28,https://mrdata.usgs.gov/mrds,10208043,Iferghane,Morocco,"",POINT (7.80166 30.49943),EPSG:4326,"copper,cobalt","Breccia pipe molybdenum,Vein polymetallic,Metamorphic kyanite,Volcanogenic manganese,Vein cobalt u00b1 Ni,Sediment-hosted copper u00b1 Co,MVT zinc-lead,Replacement fluorite,Exotic copper"
https://minmod.isi.edu/resource/mineral_site3aa3f3277490e75c3e2ed87a08b1f2f1dea2730f01b4e9d64b835c9da8089d12,https://doi.org/10.5066/P96MMRFD,TC059,Eagle,United States,Alaska,POINT (143.2192 63.2651),EPSG:4269,"gold,molybdenum,tin,zinc,silver,tellurium,nickel,tungsten,cadmium,copper,cobalt,bismuth,antimony","1986,Skarn,(Cox and Singer,model 18b)"
https://minmod.isi.edu/resource/mineral_site439d2d9cab8ed9a590d05c9936deaa0b418fe21fe962f0c8f0b6da12f9613ffe,https://mrdata.usgs.gov/mrds,10155721,Mackinaw Metals Mine,United States,Washington,POINT (-121.44311 47.98121),EPSG:4326,"silver,nickel,uranium,gold,cobalt,copper","Distal- disseminated silver-gold,Replacement polymetallic,Vein polymetallic"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__nicaro,https://doi.org/10.5382/econgeo.4950,Nicaro,Nicaro,Cuba,"","",EPSG:4326,"cobalt,nickel","Oxide-Clay Silicate,Oxide-Clay silicate,Laterite,Oxide-clay silicate"
https://minmod.isi.edu/resource/mineral_site7b5b2d754289e4a0690cfb76198d5b1b2715d40ee9fc23cb1ee83adc29c4a03d,https://mrdata.usgs.gov/mrds,10079604,Greenvale,Australia,Queensland,POINT (144.98213 -18.91356),EPSG:4326,"iron,copper,cobalt,nickel,platinum-group elements,zinc,chromium",Laterite nickel
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__rautavaara-r1,https://doi.org/10.5382/econgeo.4950,Rautavaara R1,Rautavaara R1,Finland,"","",EPSG:4326,"cobalt,nickel","Hydrothermal Ni,IOCG"
https://minmod.isi.edu/resource/mineral_siteb679455e863ba8827dcb5800285cbcf8e3c4396883129ee4a0a022ed2f51e942,https://doi.org/10.5066/P96MMRFD,MG048,Unnamed (northwest of Smith Lake),United States,Alaska,POINT (153.879 62.361),EPSG:4269,"cobalt,lead,copper,zinc","1986,models 5b or 22c),Magmatic sulfide Cu-Ni-Co or polymetallic replacement (Cox and Singer"
https://minmod.isi.edu/resource/mineral_site1d60e40f62a6a16d16957e184736d03db3a69447be4cc53877a54345f7224382,https://mrdata.usgs.gov/mrds,10069246,"(Facility) Sukinda Ni Smelter and Deposits, India",India,Orissa,POINT (84.83354 20.49958),EPSG:4326,"nickel,cobalt,copper",Laterite nickel
https://minmod.isi.edu/resource/mineral_site878a4c534651b438532d2b5a4d7367de82524be1d34709c5e0d430ca5ca79bb0,https://mrdata.usgs.gov/mrds,10071935,Elmira Mine,United States,Idaho,POINT (-113.4726 44.79629),EPSG:4326,"silver,nickel,cobalt,lead,zinc,arsenic,iron,manganese","Replacement polymetallic,Volcanogenic manganese,Replacement manganese,Supergene manganese,Sedimentary manganese,Residual placer lead"
https://minmod.isi.edu/resource/mineral_sitef7a2ce8854339ab768353924619039b287328216d0a9051bdcca6174eb6c39c9,https://mrdata.usgs.gov/mrds,10245724,First Out,United States,Montana,POINT (-110.51301 45.50851),EPSG:4326,"cobalt,nickel,silver","Supergene silver,Vein five-element,Vein cobalt u00b1 Ni,U-M layered intrusion PGE,Low Iron alkali-calcic,Fluvial placer gemstones,Underclay over- clay"
