ms_uri,source_id,record_id,site_name,country,state_or_province,crs,commodity,deposit_type,longitude,latitude,GroupID
https://minmod.isi.edu/resource/mineral_siteb900d0e0fd1993f366b61a3af12dabadb8489b7fbb215df4651bdd2f2ac21a5e,USMIN,MO00002,Higdon,United States,Missouri,EPSG:4326,"cobalt,nickel,copper,zinc",Southeast Missouri Pb-Zn,-90.142,37.608,USMIN0
https://minmod.isi.edu/resource/mineral_site3136eadf78a22bbba107aa7613ff6448740c3f84acb0c2e9aea9a470a56d6fd9,USMIN,ID00005,Blackbird,United States,Idaho,EPSG:4326,"copper,gold,cobalt,silver","Shear zone hosted Cu-Co-Au,Iron oxide-copper-gold,Syn-sedimentary Cu-Co-Au",-114.343,45.117,USMIN1
https://minmod.isi.edu/resource/mineral_site57af2c8f355bbbcb8fa99806fe76a1c9b7778b404839992577169a4fffc84816,USMIN,TN00001,Ducktown District,United States,Tennessee,EPSG:4326,"lead,copper,gold,zinc,cobalt,silver,iron",Massive sulfide,-84.383,35.049,USMIN2
https://minmod.isi.edu/resource/mineral_site2fc255324a14b6a216e089a6fd1255d4d12232961a086554f446bd98b70236f6,USMIN,PR00005,Maricao Southwest group,United States,Puerto Rico,EPSG:4326,"chromium,cobalt,iron,nickel",Nickel-Cobalt Laterites,-66.985986,18.152549,USMIN3
https://minmod.isi.edu/resource/mineral_site7093951ce0b79b4226b5abe8266bd55c23b1003492bd159f66b5acfb3b31fccb,USMIN,PR00004,Rosario Southeast group,United States,Puerto Rico,EPSG:4326,"nickel,cobalt,chromium,iron",Nickel-Cobalt Laterites,-67.030763,18.167927,USMIN3
https://minmod.isi.edu/resource/mineral_site5830c46407f96e4a9db17058d3cae8222f9a6f3e97c2f8d9708447db01852613,USMIN,MN00003,"Birch Lake, Maturi, Spruce Road, Teckufffds Mesaba (Babbit)",United States,Minnesota,EPSG:4326,"gold,silver,copper,cobalt,platinum,palladium,nickel",Contact-type magmatic Ni-Cu-PGE,-91.74,47.784,USMIN4
https://minmod.isi.edu/resource/mineral_site9a52d64f6b5134f81ce819ba1cc15d13bd11bdd7326d6c006632dd80ca57376a,USMIN,MI00001,Eagle,United States,Michigan,EPSG:4326,"nickel,copper,platinum,gold,cobalt,palladium,silver",Conduit-type Ni-Cu-PGE,-87.889,46.747,USMIN5
https://minmod.isi.edu/resource/mineral_site0bb89504dfab6dc075392386b5863094b84700337572568e014894390616ff27,USMIN,NM00042,Black Hawk District,United States,New Mexico,EPSG:4326,"zinc,gold,cobalt,copper,silver,uranium,nickel","",-108.501,32.725,USMIN6
https://minmod.isi.edu/resource/mineral_site240f491f2876e609236a98addb5b31b0eca8f63b49dd49b0f969ac76b1353442,USMIN,NM00041,Black Hawk,United States,New Mexico,EPSG:4326,"gold,copper,zinc,silver,nickel,uranium,cobalt",Five-element Veins,-108.501,32.725,USMIN6
https://minmod.isi.edu/resource/mineral_site5912d370b5dcc1754887f2126c6ab4f23bf48bc2128674d04b48323474cd3e15,USMIN,PR00002,Punta Guanajibo,United States,Puerto Rico,EPSG:4326,"cobalt,iron,nickel,chromium",Nickel-Cobalt Laterites,-67.178359,18.163555,USMIN7
https://minmod.isi.edu/resource/mineral_site2e72c968f8a9b711d58617199356e0bdcebd1b94ee4eb884a0054b831ef04334,USMIN,PR00001,Guanajibo,United States,Puerto Rico,EPSG:4326,"chromium,iron,cobalt,nickel",Nickel-Cobalt Laterites,-67.159816,18.136267,USMIN7
https://minmod.isi.edu/resource/mineral_site9d9083d27c842495b5698ab36b64ecac9fb85547ec1621c6641f06266b60858b,USMIN,AK00205,Bohemia Basin,United States,Alaska,EPSG:4326,"copper,nickel,cobalt",Synorogenic-synvolcanic Ni-Cu,-136.428,57.98,USMIN8
https://minmod.isi.edu/resource/mineral_site05f4cc2d9885c3f7ddb437627a121acc7196e9d60087f47647669e59fc29e379,USMIN,ME00002,Union,United States,Maine,EPSG:4326,"cobalt,nickel,copper",7a - Synorogenic-synvolcanic Ni-Cu,-69.241,44.199,USMIN9
https://minmod.isi.edu/resource/mineral_site1b71f257a006320cff8cd659d664599d0758b952a2698e58a480fbad650771e5,USMIN,MO00001,Fredericktown District,United States,Missouri,EPSG:4326,"iron,copper,lead,nickel,cobalt","",-90.217,37.573,USMIN10
https://minmod.isi.edu/resource/mineral_sitefc4cac17827299e00b7456f443f8f50fe869cbacd1d0d6cec563a624341315cf,USMIN,PA00001,Cornwall,United States,Pennsylvania,EPSG:4326,"copper,gold,silver,iron,sulfur,cobalt",Fe skarn,-76.411,40.267,USMIN11
https://minmod.isi.edu/resource/mineral_sitee290860cc771a75a1d3544cd340ace69b3e86f3732b5b6bda78b7fe53c437a98,USMIN,MT00002,Black Butte,United States,Montana,EPSG:4326,"zinc,silver,copper,gold,lead,cobalt",Shale-hosted massive sulfide,-110.894,46.775,USMIN12
https://minmod.isi.edu/resource/mineral_sited9e866e70cd8d02a82a9d283dbb17df6b7fac39b9d989c9d976d8137fca1a8b0,USMIN,ID00054,Blackbird District,United States,Idaho,EPSG:4326,"gold,silver,iron,copper,cobalt","",-114.308,45.107,USMIN13
https://minmod.isi.edu/resource/mineral_site146993e2409f0c429395737cccd3f840f579a0a5449e08092a4e80c2fee5d0dd,USMIN,ID00050,Idaho Cobalt Project,United States,Idaho,EPSG:4326,"gold,cobalt,copper","Shear zone hosted Cu-Co-Au,Iron oxide-copper-gold,Syn-sedimentary Cu-Co-Au",-114.362,45.139,USMIN14
https://minmod.isi.edu/resource/mineral_site5f160ecf9c4784481bc6efd08e9b9186481250a891f2b49943ef5d79a4d1cf20,USMIN,AK00012,Bornite Project,United States,Alaska,EPSG:4326,"cobalt,copper",32c - Kipushi Cu-Pb-Zn,-156.944535,67.063593,USMIN15
https://minmod.isi.edu/resource/mineral_sitec790957a2f8f1ef7b5d59fc7f3cfba6cfe889849c0e2bc1e35362c54bf7201ef,USMIN,MT00029,Smith River District,United States,Montana,EPSG:4326,"cobalt,zinc,silver,lead,gold,copper","",-111.149,46.836,USMIN16
https://minmod.isi.edu/resource/mineral_sitea019620b65b9bfa3e08f3bda642702783ff2fc1428ffd6a995235a2d2cf87dff,USMIN,AK00017,Ambler District,United States,Alaska,EPSG:4326,"copper,cobalt","",-156.150351,67.137811,USMIN17
https://minmod.isi.edu/resource/mineral_sitef8407ff32c27c151bc1e64ec936748d00151533f2e0a6da9c772e887d577fe13,USMIN,CA00071,Gasquet,United States,California,EPSG:4326,"chromium,nickel,cobalt",38a - Lateritic Ni,-123.996,41.869,USMIN18
https://minmod.isi.edu/resource/mineral_sitea677fe2683e7885d9979443f27b40da76497b3bf4d73375aadae9e7fea14a702,USMIN,AK00206,Chichagof District,United States,Alaska,EPSG:4326,"copper,nickel,cobalt","",-135.199,57.614,USMIN19
https://minmod.isi.edu/resource/mineral_sitef637acc17a97deaee326c0d81c02eb52a2e16a5178aa3cda028ee272777410b1,USMIN,OR00005,Nickel Mountain,United States,Oregon,EPSG:4326,"cobalt,nickel",38a - Lateritic Ni,-123.437,42.963,USMIN20
https://minmod.isi.edu/resource/mineral_site7d5d46d503adf0968f787c57ff972d0d819b73aac464ca9a6d334d0f3d54ed08,USMIN,OR00002,Eight Dollar Mountain,United States,Oregon,EPSG:4326,"cobalt,chromium,nickel",38a - Lateritic Ni,-123.663,42.258,USMIN20
https://minmod.isi.edu/resource/mineral_sitedf16e88c6f06b899ec5de92781c1110859705e07d12a76fcd72e06918c8c30af,USMIN,AK00207,Brady Glacier,United States,Alaska,EPSG:4326,"cobalt,copper,nickel",Massive Ni-Cu sulfide,-136.932,58.552,USMIN21
https://minmod.isi.edu/resource/mineral_site6108d7cc00c6af0904818ff3f6a174dc116fe60be63517e0eaaa210495620e46,USMIN,OR00001,Turner,United States,Oregon,EPSG:4326,"cobalt,zinc,silver,copper,gold","Volcanogenic massive sulfide,Cyprus model",-123.758,41.999,USMIN22
https://minmod.isi.edu/resource/mineral_sitea8aff1ecfd5cba394393133868f41e538df5c136e0b1824d57f49a7c50372412,USMIN,NC00001,Webster District,United States,North Carolina,EPSG:4326,"nickel,cobalt",38a - Lateritic Ni,-83.213,35.342,USMIN23
