GroupID,country,state_or_province,location,site_name,distance
GROUP553,Mexico,Sonora,POINT (-110.92066 29.07882),Carnaval,0.000198524551151565
GROUP553,Mexico,Sonora,POINT (-110.92066 29.07881),Carnaval,0.000198524551151565
GROUP5906,United States,North Carolina,POINT (-82.71736 35.79343),Goforth Soapstone Mine,0.00021143282118632288
GROUP5906,United States,North Carolina,POINT (-82.71736 35.7934),Goforth Soapstone Mine,0.00021143282118632288
GROUP2529,United States,Arizona,POINT (-112.54074 33.98896),Climax,0.00021312745880255155
GROUP2529,United States,Arizona,POINT (-112.54074 33.98895),Climax Mine,0.000213127459073697
GROUP500,Mexico,Baja California,POINT (-116.00081 32.21398),El Fenomeno Del Topo,0.0002437303016874531
GROUP500,Mexico,Baja California,POINT (-116.00081 32.21397),El Fenomeno Del Topo,0.00024373030199753212
GROUP617,Mexico,Sonora,POINT (-110.95066 29.07241),Villa De Seris,0.0003975928807849497
GROUP617,Mexico,Sonora,POINT (-110.95066 29.07243),Villa De Seris,0.00039759288103786283
GROUP3791,United States,Nevada,POINT (-114.61334 37.89276),Murphy Prospect,0.0004631185025151884
GROUP3791,United States,Nevada,POINT (-114.61334 37.89274),Murphy Prospect,0.00046311850280978317
GROUP2089,United States,New Mexico,POINT (-106.57307 32.45596),Merrimac Mine,0.0004757551233794661
GROUP2089,United States,New Mexico,POINT (-106.57307 32.45593),Merrimac,0.0004757551233794661
GROUP3728,United States,Nevada,POINT (-117.69597 41.32211),Scheelite Prospect,0.0005168115227715363
GROUP3728,United States,Nevada,POINT (-117.69597 41.32209),Scheelite,0.0005168115234290353
GROUP618,Mexico,Sonora,POINT (-109.16811 28.25108),La Cruz,0.0005476477505673582
GROUP618,Mexico,Sonora,POINT (-109.16811 28.25105),La Cruz,0.0005476477505673582
GROUP556,Mexico,Sonora,POINT (-109.25061 28.26692),San Julian,0.0005499156713816148
GROUP556,Mexico,Sonora,POINT (-109.25061 28.26695),San Julian,0.0005499156714982173
GROUP2793,United States,New Mexico,POINT (-107.21448 33.05011),Dewey and White Swan Mines,0.0005559746311771807
GROUP2909,United States,California,POINT (-118.64982 35.79247),Anita May,0.0005559746325918269
GROUP2807,United States,Oregon,POINT (-118.33466 44.92235),Long Meadow Claim,0.0005559746325918269
GROUP531,Mexico,Sonora,POINT (-109.72702 29.10022),Coker,0.0005559746325918269
GROUP2909,United States,California,POINT (-118.64983 35.79247),Anita May,0.0005559746325918269
GROUP3890,United States,Nevada,POINT (-118.81489 40.40989),NBMG Sample Site 2823,0.0005559746325918269
GROUP4689,United States,Oregon,POINT (-122.74973 42.26733),Harmony Group,0.0005559746325918269
GROUP2807,United States,Oregon,POINT (-118.33465 44.92235),Long Meadow Claim,0.0005559746325918269
GROUP531,Mexico,Sonora,POINT (-109.72703 29.10022),Coker,0.0005559746340064731
GROUP4689,United States,Oregon,POINT (-122.74974 42.26733),Harmony Group,0.0005559746354211192
GROUP3890,United States,Nevada,POINT (-118.81488 40.40989),NBMG Sample Site 2823,0.0005559746354211192
GROUP2793,United States,New Mexico,POINT (-107.21449 33.05011),Dewey and White Swan Deposits,0.0005559746354211192
GROUP4589,United States,North Carolina,POINT (-82.57597 35.95898),Peter Cove Talc Mine,0.0005605965918674037
GROUP4589,United States,North Carolina,POINT (-82.57596 35.95899),Peter Cove Talc Mine,0.0005605965994473712
GROUP508,Mexico,Sonora,POINT (-109.65063 28.38354),El Tordillo,0.0005608959494213911
GROUP508,Mexico,Sonora,POINT (-109.65063 28.38357),El Tordillo,0.0005608959495403219
GROUP521,Mexico,Sonora,POINT (-109.75063 28.18358),El Trueno-Nacimiento,0.0005636366308217001
GROUP521,Mexico,Sonora,POINT (-109.75063 28.18355),El Trueno-Nanimmento,0.0005636366310607235
GROUP558,Mexico,Sonora,POINT (-109.95064 28.63353),Tecoripa,0.0005691131083494204
GROUP558,Mexico,Sonora,POINT (-109.95064 28.63356),Tecoripa,0.0005691131085907665
GROUP535,Mexico,Sonora,POINT (-110.55065 29.08354),La Estrella,0.0005855001183057724
GROUP535,Mexico,Sonora,POINT (-110.55065 29.08351),La Estrella,0.0005855001185540677
GROUP1722,United States,North Carolina,POINT (-80.49341 35.35288),Furniss Mine,0.0005855214699429884
GROUP1722,United States,North Carolina,POINT (-80.4934 35.3529),Furniss Mine,0.0005855214998873526
GROUP614,Mexico,Sonora,POINT (-110.27425 29.73629),La Morita,0.0005884071734519761
GROUP614,Mexico,Sonora,POINT (-110.27426 29.7363),La Morita,0.0005884071870165964
GROUP578,Mexico,Sonora,POINT (-110.28954 29.8913),Santa Rosa,0.0005884527527091869
GROUP578,Mexico,Sonora,POINT (-110.28955 29.89129),Santa Rosa,0.0005884527688748283
GROUP601,Mexico,Sonora,POINT (-110.91455 28.12385),Unnamed,0.0005903370328401827
GROUP601,Mexico,Sonora,POINT (-110.91456 28.12384),Unnamed,0.0005903370481194797
GROUP554,Mexico,Sonora,POINT (-110.93426 29.07661),El Tungteno,0.0005903971191530446
GROUP554,Mexico,Sonora,POINT (-110.93427 29.0766),El Tungsteno,0.000590397130488587
GROUP530,Mexico,Sonora,POINT (-110.80066 29.16688),El Saturno,0.0005923093502330337
GROUP530,Mexico,Sonora,POINT (-110.80066 29.16691),El Saturno,0.0005923093504842167
GROUP6048,United States,Utah,POINT (-112.40719 39.85134),Great Western King Mine,0.000594997574236999
GROUP2049,United States,Utah,POINT (-112.40719 39.83356),Murphy Mine,0.000594997574236999
GROUP6048,United States,Utah,POINT (-112.4072 39.85135),Great Western King Mine,0.000594997588987816
GROUP2049,United States,Utah,POINT (-112.4072 39.83355),Murphy Mine,0.000594997588987816
GROUP2114,United States,Utah,POINT (-112.4144 39.82885),Unknown Prospect,0.0005950206151292011
GROUP2114,United States,Utah,POINT (-112.41441 39.82884),Unknown Prospect,0.0005950206297874614
GROUP6142,United States,Oregon,POINT (-124.06117 42.65511),Galena King,0.000622777965086182
GROUP6142,United States,Oregon,POINT (-124.06117 42.65509),Galena King,0.0006227779658784938
GROUP5601,United States,North Carolina,POINT (-82.62376 35.91819),Edwards No. 2 Soapstone Mine,0.0006250007672611866
GROUP5601,United States,North Carolina,POINT (-82.62375 35.91815),Edwards #2 Soapstone Mine,0.0006250008539252983
GROUP566,Mexico,Sonora,POINT (-112.1007 30.1835),La Cienega,0.000627532320267742
GROUP566,Mexico,Sonora,POINT (-112.1007 30.18347),La Cienega,0.0006275323205338621
GROUP4503,United States,Utah,POINT (-112.4083 39.83828),Oro Plata Mine,0.0006358197695195428
GROUP4503,United States,Utah,POINT (-112.4083 39.83825),Oro Plata Mine,0.0006358197695195428
GROUP606,Mexico,Sonora,POINT (-109.152 28.37246),Los Verdes,0.0006649730670082262
GROUP606,Mexico,Sonora,POINT (-109.15201 28.37244),Los Verdes,0.0006649731160491421
GROUP552,Mexico,Sonora,POINT (-110.26175 29.65989),Santa Elena,0.0006763085885608533
GROUP552,Mexico,Sonora,POINT (-110.26176 29.65991),Santa Elena,0.0006763086428578995
GROUP4331,United States,Arizona,POINT (-110.73678 32.55731),"Morning Star,Morning Star Property",0.0006812623058174714
GROUP4331,United States,Arizona,POINT (-110.73679 32.55733),Morning Star Claim,0.0006812623569640801
GROUP522,Mexico,Baja California,POINT (-115.90082 32.18339),Tio Pepe,0.0007285736151403021
GROUP522,Mexico,Baja California,POINT (-115.90082 32.18342),Tio Pepe,0.0007285736154492713
GROUP569,Mexico,Baja California,POINT (-115.95082 32.16676),Olivia,0.0007298826694616327
GROUP569,Mexico,Baja California,POINT (-115.95082 32.16679),Olivia,0.0007298826694616327
GROUP6055,United States,California,POINT (-115.36194 35.5047),Jack Claim,0.0007320907841400704
GROUP6055,United States,California,POINT (-115.36195 35.50472),Jack Claim,0.0007320908409885169
GROUP528,Mexico,Baja California,POINT (-116.05082 32.26675),"Las Pilitas, La Pintada, Tres Hermanas",0.0007324991086670328
GROUP483,Mexico,Baja California,POINT (-116.05082 32.18339),El Pinalito,0.0007324991086670328
GROUP483,Mexico,Baja California,POINT (-116.05082 32.18342),El Pinalito,0.0007324991089776666
