ms_uri,source_id,record_id,other_names,country,state_or_province,location,crs,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar018,https://doi.org/10.5066/P96MMRFD,AR018,"",United States,Alaska,POINT (156.948 67.0624),EPSG:4267,Bornite; Ruby Creek,"Gold,Germanium,Uranium,Zinc,Silver,Lead,Cobalt,Copper",Kipushi-type sediment- hosted copper- zinc-lead
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt025,https://doi.org/10.5066/P96MMRFD,BT025,"",United States,Alaska,POINT (150.3386 66),EPSG:4267,Fort Hamlin Hills Metalliferous Coal,"Molybdenum,Uranium,Germanium,Tungsten,rare earth elements,Zirconium,Lead,Copper,Gold,Silver,Antimony,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__de015,https://doi.org/10.5066/P96MMRFD,DE015,"",United States,Alaska,POINT (132.1742 54.9511),EPSG:4267,Geiger,"Uranium,Thorium,Zirconium,Tantalum,Fluorine-Fluorite,Lead,Zinc,rare earth elements,Germanium","Peralkaline igneous HFSE- REE,Skarn uranium- REE"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tn143,https://doi.org/10.5066/P96MMRFD,TN143,"",United States,Alaska,POINT (150.589 65.9843),EPSG:4267,Ray River Metalliferous Coal,"Germanium,Uranium,Gold,Silver,Lead,Copper,Gallium,Antimony,rare earth elements,Tungsten,Molybdenum,Zirconium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10073171,https://doi.org/10.5066/P970GDD5,USA.MO.10073171,"",United States,"",POINT(-91.12480 37.63980),EPSG:4326,Magmont,"Gallium,Lead,Germanium,Zinc,Copper",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10244067,https://doi.org/10.5066/P970GDD5,USA.MO.10244067,"",United States,"",POINT(-91.12260 37.60590),EPSG:4326,Buick,"Zinc,Germanium,Gallium,Lead",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10293984,https://doi.org/10.5066/P970GDD5,USA.MO.10293984,"",United States,"",POINT(-91.14820 37.35980),EPSG:4326,Sweetwater,"Zinc,Lead,Germanium,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10294201,https://doi.org/10.5066/P970GDD5,USA.MO.10294201,"",United States,"",POINT(-91.10900 37.49260),EPSG:4326,West Fork,"Germanium,Zinc,Lead,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-910748,https://doi.org/10.5066/P970GDD5,USA.MO.910748,"",United States,"",POINT(-90.90930 38.05760),EPSG:4326,Indian Creek,"Gallium,Germanium,Lead",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-pa-911146,https://doi.org/10.5066/P970GDD5,USA.PA.911146,"",United States,"",POINT(-75.40460 40.55450),EPSG:4326,Friedensville,"Germanium,Zinc,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-10154670,https://doi.org/10.5066/P970GDD5,USA.TN.10154670,"",United States,"",POINT(-85.93250 36.26160),EPSG:4326,Cumberland,"Zinc,Germanium,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-10307223,https://doi.org/10.5066/P970GDD5,USA.TN.10307223,"",United States,"",POINT(-85.92000 36.17000),EPSG:4326,Central Tennessee District,"Zinc,Germanium,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-911168a,https://doi.org/10.5066/P970GDD5,USA.TN.911168a,"",United States,"",POINT(-83.56490 36.08200),EPSG:4326,Mascot-Jefferson City District,"Germanium,Gallium,Zinc",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-911168c,https://doi.org/10.5066/P970GDD5,USA.TN.911168c,"",United States,"",POINT(-83.61300 36.07650),EPSG:4326,"Young, Immel, Coy, New Market","Zinc,Gallium,Lead,Copper,Germanium",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ut00003,https://mrdata.usgs.gov/deposit,UT00003,"",United States,Utah,POINT (-113.877 37.108),EPSG:4326,Tutsagubet Mining District,"Silver,Arsenic,Gallium,Copper,Lead,Germanium,Zinc,Iron",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ut00004,https://mrdata.usgs.gov/deposit,UT00004,Dixie mine,United States,Utah,"POINT (-113.805727 37.06952),POINT (-113.8057 37.0695)",EPSG:4326,Apex,"Lead,Germanium,Arsenic,Zinc,Gallium,Silver,Copper,Iron",32c - Kipushi Cu-Pb-Zn
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008418,https://mrdata.usgs.gov/mrds,10008418,"La Bahada,Mine,Lone Star,La Majada",United States,New Mexico,POINT (-106.20808 35.5495),EPSG:4326,La Bajada Mine,"Thorium,Uranium,Copper,Cobalt,Silver,Germanium,Sulfur,Arsenic,Molybdenum,Nickel",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039170,https://mrdata.usgs.gov/mrds,10039170,"",Russia,"",POINT (87.42897 67.99779),EPSG:4326,Sukharikhiiskii,"Sulfur,platinum-group elements,Copper,Germanium,Silver","Arc U-M intru- sion nickel- copper-PGE,U-M conduit nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10042361,https://mrdata.usgs.gov/mrds,10042361,Deep Lake,United States,Washington,POINT (-117.62333 48.8493),EPSG:4326,Farmer Mine,"Zinc,Silver,Germanium,Lead,Gallium","Irish-type sediment- hosted zinc- lead,Replacement zinc-lead,Siliciclastic-mafic zinc-lead"
