record_id,GroupID
MRDS_10008380,54
MRDS_10008407,79
MRDS_10008756,266
MRDS_10008758,126
MRDS_10008771,623
MRDS_10008780,425
MRDS_10008781,407
MRDS_10008784,626
MRDS_10008986,287
MRDS_10008992,189
MRDS_10010123,202
MRDS_10010129,311
MRDS_10010272,389
MRDS_10010756,303
MRDS_10010757,224
MRDS_10010758,147
MRDS_10010760,435
MRDS_10010817,418
MRDS_10010818,272
MRDS_10010819,271
MRDS_10010820,393
MRDS_10010821,166
MRDS_10010838,440
MRDS_10011233,307
MRDS_10011236,98
MRDS_10011562,447
MRDS_10011567,233
MRDS_10011568,122
MRDS_10011574,249
MRDS_10011761,221
MRDS_10012444,262
MRDS_10013210,364
MRDS_10013617,161
MRDS_10013618,431
MRDS_10013624,452
MRDS_10014503,397
MRDS_10014517,228
MRDS_10015910,237
MRDS_10015918,276
MRDS_10019005,288
MRDS_10019009,241
MRDS_10019011,395
MRDS_10019067,308
MRDS_10019068,191
MRDS_10019069,419
MRDS_10019070,298
MRDS_10019071,318
MRDS_10019080,316
MRDS_10019107,284
MRDS_10019163,445
MRDS_10019165,238
MRDS_10019166,325
MRDS_10019262,450
MRDS_10019263,430
MRDS_10019264,433
MRDS_10019267,129
MRDS_10019339,102
MRDS_10019352,183
MRDS_10019360,173
MRDS_10019366,439
MRDS_10019429,363
MRDS_10019431,361
MRDS_10019432,443
MRDS_10019433,424
MRDS_10019434,306
MRDS_10019435,343
MRDS_10019443,315
MRDS_10019447,402
MRDS_10019504,186
MRDS_10019525,441
MRDS_10019526,106
MRDS_10019541,84
MRDS_10019610,275
MRDS_10019697,100
MRDS_10019781,197
MRDS_10019835,338
MRDS_10019865,264
MRDS_10019895,99
MRDS_10019913,459
MRDS_10019914,158
MRDS_10019915,210
MRDS_10019942,156
MRDS_10019943,91
MRDS_10019944,432
MRDS_10022652,171
MRDS_10022653,386
MRDS_10022654,347
MRDS_10022655,81
MRDS_10022671,278
MRDS_10022775,103
MRDS_10022776,232
MRDS_10022781,195
MRDS_10022789,234
MRDS_10022918,313
MRDS_10022919,258
MRDS_10022920,622
MRDS_10038143,223
MRDS_10042414,168
MRDS_10042778,148
MRDS_10055833,625
MRDS_10067839,280
MRDS_10069752,415
MRDS_10069759,95
MRDS_10069760,322
MRDS_10070385,305
MRDS_10070438,384
MRDS_10070439,358
MRDS_10070444,355
MRDS_10070460,205
MRDS_10070469,218
MRDS_10070492,341
MRDS_10070532,248
MRDS_10070542,444
MRDS_10070818,40
MRDS_10070873,251
MRDS_10070970,296
MRDS_10071001,245
MRDS_10071002,273
MRDS_10071085,109
MRDS_10071086,190
MRDS_10071091,61
MRDS_10071102,239
MRDS_10071187,136
MRDS_10071357,473
MRDS_10071390,235
MRDS_10071391,219
MRDS_10071458,71
MRDS_10071477,63
MRDS_10071478,399
MRDS_10071544,3
MRDS_10071565,59
MRDS_10071595,112
MRDS_10071637,73
MRDS_10071683,457
MRDS_10071723,10
MRDS_10071774,294
MRDS_10071837,293
MRDS_10071993,624
MRDS_10089197,300
MRDS_10090097,118
