ms_uri,source_id,record_id,other_names,country,state_or_province,location,crs,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__ayawilca-675,https://doi.org/10.1016/j.oregeorev.2016.08.010,ayawilca__675,"",Peru,"","",EPSG:4326,Ayawilca,"Silver,Zinc,Lead,Indium",Skarn
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__conrad-king-conrad-greisen-42,https://doi.org/10.1016/j.oregeorev.2016.08.010,conrad-king-conrad-greisen__42,"",Australia,"","",EPSG:4326,Conrad-King Conrad-Greisen,"Lead,Zinc,Copper,Silver,Tin,Indium",Skarn
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__dambludi-472,https://doi.org/10.1016/j.oregeorev.2016.08.010,dambludi__472,"",Georgia,"","",EPSG:4326,Dambludi,"Zinc,Copper,Indium,Silver,Gold,Lead","Epithermal,High sulphidation"
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__keg-main-zone-279,https://doi.org/10.1016/j.oregeorev.2016.08.010,keg-main-zone__279,"",Canada,"","",EPSG:4326,Keg Main Zone,"Indium,Lead,Silver,Zinc,Copper,Tin","Original skarn with epithermal overprint,Skarn-epithermal"
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__tellerhauser-481,https://doi.org/10.1016/j.oregeorev.2016.08.010,tellerhauser__481,"",Germany,"","",EPSG:4326,Tellerhäuser,"Tin,Indium,Zinc",Skarn
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__zeehan-group-slag-149,https://doi.org/10.1016/j.oregeorev.2016.08.010,zeehan-group-slag__149,"",Australia,"","",EPSG:4326,Zeehan Group Slag,"Zinc,Lead,Silver,Indium",VMS Slag
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__1001,https://doi.org/10.4095/295581,1001,"",Canada,"",POINT(-85.79444 49.15417),EPSG:4326,Geco,"Copper,Zinc,Silver,Indium,Lead,Tin",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__1002,https://doi.org/10.4095/295581,1002,"",Canada,"",POINT(-66.29639 47.56278),EPSG:4326,Caribou,"Copper,Indium,Gold,Zinc,Tin,Lead,Silver",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__146,https://doi.org/10.4095/295581,146,"",Bolivia,"",POINT(-65.58333 -19.45000),EPSG:4326,Huari Huari,"Zinc,Silver,Indium",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__201,https://doi.org/10.4095/295581,201,"",Canada,"",POINT(-66.04556 47.60111),EPSG:4326,Armstrong,"Gold,Tin,Silver,Copper,Zinc,Indium,Lead",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__202,https://doi.org/10.4095/295581,202,"",Canada,"",POINT(-65.89139 47.47583),EPSG:4326,Brunswick No. 12,"Tin,Indium,Copper,Silver,Gold,Lead,Zinc",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__203,https://doi.org/10.4095/295581,203,"",Canada,"",POINT(-65.82250 47.40833),EPSG:4326,Brunswick No. 6,"Tin,Zinc,Indium,Silver,Lead,Gold,Copper",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__204,https://doi.org/10.4095/295581,204,"",Canada,"",POINT(-66.10694 47.41139),EPSG:4326,Canoe Landing Lake,"Gold,Silver,Zinc,Lead,Copper,Tin,Indium",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__205,https://doi.org/10.4095/295581,205,"",Canada,"",POINT(-66.22389 47.10167),EPSG:4326,Chester,"Gold,Copper,Tin,Lead,Silver,Zinc,Indium",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__206,https://doi.org/10.4095/295581,206,"",Canada,"",POINT(-65.54306 47.38139),EPSG:4326,Flat Landing Brook,"Silver,Gold,Lead,Zinc,Tin,Indium,Copper",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__207,https://doi.org/10.4095/295581,207,"",Canada,"",POINT(-66.31806 47.30694),EPSG:4326,Halfmile Lake,"Silver,Gold,Zinc,Copper,Tin,Indium,Lead",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__208,https://doi.org/10.4095/295581,208,"",Canada,"",POINT(-66.03722 47.30028),EPSG:4326,Heath Steele,"Lead,Silver,Copper,Gold,Indium,Tin,Zinc",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__209,https://doi.org/10.4095/295581,209,"",Canada,"",POINT(-65.69778 47.43583),EPSG:4326,Key Anacon,"Silver,Indium,Copper,Gold,Tin,Zinc,Lead",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__210,https://doi.org/10.4095/295581,210,"",Canada,"",POINT(-66.43194 47.52528),EPSG:4326,Murray Brook,"Copper,Gold,Indium,Lead,Tin,Silver,Zinc",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__211,https://doi.org/10.4095/295581,211,"",Canada,"",POINT(-66.12333 47.63000),EPSG:4326,Orvan Brook,"Zinc,Tin,Lead,Indium,Gold,Copper,Silver",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__212,https://doi.org/10.4095/295581,212,"",Canada,"",POINT(-66.54944 47.49917),EPSG:4326,Restigouche,"Tin,Indium,Zinc,Lead,Gold,Copper,Silver",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__213,https://doi.org/10.4095/295581,213,"",Canada,"",POINT(-66.12528 47.30833),EPSG:4326,Stratmat,"Gold,Copper,Lead,Silver,Zinc,Indium,Tin",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__237,https://doi.org/10.4095/295581,237,"",Canada,"",POINT(-66.81667 45.43333),EPSG:4326,Mount Pleasant,"Zinc,Tin,Bismuth,Copper,Tungsten,Molybdenum,Indium",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__61,https://doi.org/10.4095/295581,61,"",Australia,"",POINT(145.32583 -17.38194),EPSG:4326,Baal Gammon,"Copper,Indium,Silver,Tin",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ea102,https://doi.org/10.5066/P96MMRFD,EA102,"",United States,Alaska,POINT (-142.8274 64.2308),"",LWM; Little Whiteman; West LWM,"Indium,Tungsten,Lead,Silver,Gold,Mercury,Zinc","Non-sulfide zinc-lead ± Mn,Replacement polymetallic,Replacement zinc-lead"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__id130,https://doi.org/10.5066/P96MMRFD,ID130,"",United States,Alaska,POINT (-157.0246 62.4233),"",Bismarck Creek,"Cadmium,Indium,Arsenic,Copper,Lead,Tin,Zinc,Fluorine-Fluorite,Silver",Vein tin polymetallic
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__baal-gammon-73,https://doi.org/10.5382/econgeo.2018.4590,baal-gammon__73,"",Australia,"","",EPSG:4326,Baal Gammon,"Tin,Indium,Silver,Copper",Skarn
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__conrad-kind-conrad-greisen-114,https://doi.org/10.5382/econgeo.2018.4590,conrad-kind-conrad-greisen__114,"",Australia,"","",EPSG:4326,Conrad-Kind Conrad-Greisen,"Tin,Indium,Lead,Zinc,Copper,Silver",Skarn
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__crypto-2088,https://doi.org/10.5382/econgeo.2018.4590,crypto__2088,"",United States,"","",EPSG:4326,Crypto,"Zinc,Copper,Iron,Indium",Skarn
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__dambludi-1115,https://doi.org/10.5382/econgeo.2018.4590,dambludi__1115,"",Georgia,"","",EPSG:4326,Dambludi,"Indium,Silver,Gold,Copper,Lead,Zinc,Uranium","Epithermal,High sulphidation"
