country,ms_uri,source_id,record_id,state_or_province,location,crs,other_names,site_name,commodity,deposit_type,link_method,longitude,latitude,GroupID
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0247231e89f9350afb96e978b6c3e7afa0c3a6f3de5b93b468b5f26a55f7688580,https://api.cdr.land/v1/docs/documents,0247231e89f9350afb96e978b6c3e7afa0c3a6f3de5b93b468b5f26a55f7688580,Quebec,POINT (-70.0183300000000060 60.0202799999999783),EPSG:4326,"",Payne Bay,"","Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,-70.01833,60.02028,https://api.cdr.land/v1/docs/documents0
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__029db96ee6956a5c4fc8e3c97aeeb437692f771de262cae7ca5feb5dd20fc174d2,https://api.cdr.land/v1/docs/documents,029db96ee6956a5c4fc8e3c97aeeb437692f771de262cae7ca5feb5dd20fc174d2,Quebec,POINT (-70.0183000000000106 60.0202999999999989),EPSG:4326,"",Payne Bay,"","Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,Ni-Cu±Co±PGE mineralization,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,komatiite-hosted deposits,magmatic Cu-Ni±Co±PGE occurrences in aphyric gabbro±peridotite",GEO,-70.0183,60.0203,https://api.cdr.land/v1/docs/documents0
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__024b24cdb57dc87bde750df0a4b285cfe27d5de0c91dcff4b54b627ad78867681f,https://api.cdr.land/v1/docs/documents,024b24cdb57dc87bde750df0a4b285cfe27d5de0c91dcff4b54b627ad78867681f,"","","","",Snowbird North America June 2010,"","Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,magmatic nickel-copper sulphide deposit",TXT,,,https://api.cdr.land/v1/docs/documents1
Finland,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02c457dca01d06f190b7b00cc1a58ba98eb4419c484f367f0c4762606c74490101,https://api.cdr.land/v1/docs/documents,02c457dca01d06f190b7b00cc1a58ba98eb4419c484f367f0c4762606c74490101,"","","","",Lantinen Koillismaa,"balt,,,Gold,,pper","Anorthosite conduit nickel- copper-PGE,Arc U-M intru- sion nickel- copper-PGE,Extrusive complexes,Intracontinental layered intrusions,Other type intrusions,PGE only type,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE,contact-type,off-set type,reef-type",TXT,,,https://api.cdr.land/v1/docs/documents2
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02dd6bca9a4a06077e80ddd981f1def1059a932300acb96cc5785f90a771320d00,https://api.cdr.land/v1/docs/documents,02dd6bca9a4a06077e80ddd981f1def1059a932300acb96cc5785f90a771320d00,Quebec,POINT (-69.7397220000000146 59.0738890000000012),EPSG:4326,"",Hawk Ridge Canada July,"pper,balt,,Gold,,Iron,","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,magmatic sulphide deposits,massive to disseminated nickel sulphides in mafic and ultramafic rocks,nickel-copper (PGE) sulphide mineralization,rift and continental flood basalt-associated nickel copper sulphide deposits",GEO,-69.739722,59.073889,https://api.cdr.land/v1/docs/documents3
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02faaf21349ba794a1e1be3dfca7a7dbc5b69d80f67c66fb02c9d02fe26b7c68c7,https://api.cdr.land/v1/docs/documents,02faaf21349ba794a1e1be3dfca7a7dbc5b69d80f67c66fb02c9d02fe26b7c68c7,Quebec,POINT (-76.3499999999999801 50.5833329999999961),EPSG:4326,"",Rocher,"","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Vein ± replacement nickel,mafic-ultramafic-iron-nickel-copper sulfide association,magmatic hosted nickel sulphide mineralization",GEO,-76.35,50.583333,https://api.cdr.land/v1/docs/documents4
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d80cfd94b92780c3f1ed4c0d7555a2ddc65879d8736adbe95386e862399b03ad,https://api.cdr.land/v1/docs/documents,02d80cfd94b92780c3f1ed4c0d7555a2ddc65879d8736adbe95386e862399b03ad,Ontario,POINT (-81.1666999999999916 46.4332999999999956),EPSG:4326,"",Lockerby,"balt,,,Silver,,pper","Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,-81.1667,46.4333,https://api.cdr.land/v1/docs/documents5
Finland,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02f2b7150677c5fb67cbcf3159dc3ab3c30b53e5a086fe6013ae6fbd7984b51dd5,https://api.cdr.land/v1/docs/documents,02f2b7150677c5fb67cbcf3159dc3ab3c30b53e5a086fe6013ae6fbd7984b51dd5,Lapland,POINT (26.8999999999999950 67.7067999999999870),EPSG:4326,"",Kevitsa,",pper,,,Gold","Arc U-M intru- sion nickel- copper-PGE,Ni-Cu-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE,chrome,copper,layered-intrusive,magmatic,nickel",GEO,26.9,67.7068,https://api.cdr.land/v1/docs/documents6
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02eab400bd0394dc3264b5db27f3d44d7f178aee941def1258b366306f23988ecb,https://api.cdr.land/v1/docs/documents,02eab400bd0394dc3264b5db27f3d44d7f178aee941def1258b366306f23988ecb,Manitoba,POINT (-99.5027999999999935 55.1832999999999956),EPSG:4326,"",Bucko Lake,"","Arc U-M intru- sion nickel- copper-PGE,Birchtree-style mineralization,Disseminated to semi-massive sulfides in serpentinized peridotite,Komatiite nickel-copper-PGE,Thompson-style mineralization,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Vein ± replacement nickel",GEO,-99.5028,55.1833,https://api.cdr.land/v1/docs/documents7
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02cf1ccba2286a2b5138ee9957a4fd33c971f0fdcca0b4e0b43c6015ee202ebe1b,https://api.cdr.land/v1/docs/documents,02cf1ccba2286a2b5138ee9957a4fd33c971f0fdcca0b4e0b43c6015ee202ebe1b,Minnesota,POINT (-91.5035000000000025 47.9715999999999951),EPSG:4326,"",Nokomis,",pper,Gold,,,balt","Anorthosite conduit nickel- copper-PGE,Arc U-M intru- sion nickel- copper-PGE,Disseminated Cu-Ni-PGE bearing sulphides in the basal part of mafic intrusions,Massive sulphide mineralization at the basal intrusive contact and in footwall rocks,Sulphide mineralization in major feeder zones in footwall rocks,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,-91.5035,47.9716,https://api.cdr.land/v1/docs/documents8
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02e3b3889fc14072a901c7126963a7b0e373190131bd9ad040e17e99d0a583778f,https://api.cdr.land/v1/docs/documents,02e3b3889fc14072a901c7126963a7b0e373190131bd9ad040e17e99d0a583778f,Ontario,POINT (-88.9999999999999858 49.0000000000000000),EPSG:4326,"",Wolf Mountain,"","Arc U-M intru- sion nickel- copper-PGE,Cu-Ni-PGE deposits,Duluth Gabbro complex deposits,Great Lakes Nickel deposit,Magnetite- dominant IOCG,Noril'sk type sulphide accumulation,PGE bearing massive sulphide deposits,PGE-copper-nickel sulphide deposits,Porphyry gold ± copper,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,-89.0,49.0,https://api.cdr.land/v1/docs/documents9
Greenland,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__026fe63791820174db08d5252260412f05dc9f62ec2a255c47788bc93442639d0a,https://api.cdr.land/v1/docs/documents,026fe63791820174db08d5252260412f05dc9f62ec2a255c47788bc93442639d0a,"",POINT (-51.8249999999999957 -65.4333000000000027),EPSG:4326,"",Maniitsoq,"","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,-51.825,-65.4333,https://api.cdr.land/v1/docs/documents10
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02e285100842829350b8fa398dc60308d57ad5f3047d79003950963a8dea0ca772,https://api.cdr.land/v1/docs/documents,02e285100842829350b8fa398dc60308d57ad5f3047d79003950963a8dea0ca772,Alaska,POINT (-147.5166999999999859 63.7499999999999929),EPSG:4326,"",Eureka,"","Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Mafic-ultramafic related Ni-Cu-PGE occurrences,Magmatic sulfides in ultramafic-mafic complexes,Ni-Cu-PGE mineralization associated with Triassic-age Nikolai Group intrusions within Eastern Wrangellia,Pd-rich zones associated with hydrothermal quartz-carbonate alteration,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,-147.5167,63.75,https://api.cdr.land/v1/docs/documents11
Brazil,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,https://api.cdr.land/v1/docs/documents,021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,Ceará,"","","",Pedra Branca,"balt, elements,,pper,Gold,","Komatiite nickel-copper-PGE,Magnetite- dominant IOCG,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",TXT,,,https://api.cdr.land/v1/docs/documents12
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02afe087bad249226bbf42701259a6379ad1582b16e3550d34d766a6c50ce1ace3,https://api.cdr.land/v1/docs/documents,02afe087bad249226bbf42701259a6379ad1582b16e3550d34d766a6c50ce1ace3,Ontario,POINT (-81.0332999999999970 48.8667000000000087),EPSG:4326,"",Mann North America October 2003,"","Fluvial placer PGE,Ni-Cu sulfide deposit,Ophiolite nickel-copper-PGE,PGE deposit,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",GEO,-81.0333,48.8667,https://api.cdr.land/v1/docs/documents13
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021990473ff183b072d4b813de1c86278b60f7a05b6b8625ee7878f29ee9fb683a,https://api.cdr.land/v1/docs/documents,021990473ff183b072d4b813de1c86278b60f7a05b6b8625ee7878f29ee9fb683a,Alaska,"","","",MAN Alaska,"","Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,magmatic Ni-Cu-PGE sulphide mineralization",TXT,,,https://api.cdr.land/v1/docs/documents14
Canada,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02872e119972d458653a1a5b233cc15142a3e9e87e7b01d423de873c9e31fd2bf5,https://api.cdr.land/v1/docs/documents,02872e119972d458653a1a5b233cc15142a3e9e87e7b01d423de873c9e31fd2bf5,Ontario,"","","",Offsets 10 5 2005 North America October 2005,"","Anorthosite conduit nickel- copper-PGE,Contact deposits,Footwall deposits,Impact U-M intrusion nickel- copper-PGE,Offset Dike deposits,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",TXT,,,https://api.cdr.land/v1/docs/documents15
