source_id,record_id,GroupID
MRDS,10183303,one92
MRDS,10000032,one171
MRDS,10000117,one170
MRDS,10000367,one262
MRDS,10001107,one485
MRDS,10000500,one392
MRDS,10000467,one81
MRDS,10000469,one66
MRDS,10000488,one81
MRDS,10000502,one333
MRDS,10000685,one369
MRDS,10000733,one341
MRDS,10000734,one341
MRDS,10000839,one457
MRDS,10000840,one456
MRDS,10000841,one456
MRDS,10000849,one415
MRDS,10000885,one303
MRDS,10000886,one303
MRDS,10000889,one303
MRDS,10000929,one368
MRDS,10000966,one340
MRDS,10000974,one339
MRDS,10000998,one396
MRDS,10001098,one484
MRDS,10001106,one442
MRDS,10001095,one416
MRDS,10001129,one458
MRDS,10001166,one102
MRDS,10001249,one239
MRDS,10001261,one239
MRDS,10001262,one239
MRDS,10001346,one333
MRDS,10001354,one261
MRDS,10001381,one305
MRDS,10001386,one306
MRDS,10001400,one266
MRDS,10001641,one143
MRDS,10001637,one143
MRDS,10001694,one33
MRDS,10001707,one238
MRDS,10002386,one172
MRDS,10002221,one393
MRDS,10002223,one436
MRDS,10002227,one436
MRDS,10002228,one437
MRDS,10002231,one413
MRDS,10002233,one413
MRDS,10002234,one412
MRDS,10002238,one364
MRDS,10002245,one366
MRDS,10002264,one338
MRDS,10002271,one302
MRDS,10002287,one337
MRDS,10002299,one12
MRDS,10002326,one392
MRDS,10002327,one392
MRDS,10002338,one335
MRDS,10002339,one336
MRDS,10002340,one336
MRDS,10002377,one332
MRDS,10002392,one172
MRDS,10002396,one234
MRDS,10002448,one122
MRDS,10002603,one441
MRDS,10002669,one264
MRDS,10002734,one237
MRDS,10002780,one20
MRDS,10002888,one374
MRDS,10002909,one373
MRDS,10003070,one101
MRDS,10003143,one41
MRDS,10003146,one41
MRDS,10003383,one100
MRDS,10003445,one395
MRDS,10003627,one367
MRDS,10003646,one145
MRDS,10003725,one379
MRDS,10004133,one59
MRDS,10004407,one115
MRDS,10004749,one59
MRDS,10004792,one59
MRDS,10005315,one115
MRDS,10005728,one303
MRDS,10005840,one116
MRDS,10005842,one116
MRDS,10005843,one116
MRDS,10005975,one165
MRDS,10006118,one166
MRDS,10006139,one114
MRDS,10006140,one113
MRDS,10006248,one166
MRDS,10008488,one575
MRDS,10008229,one359
MRDS,10008418,one142
MRDS,10009003,one745
MRDS,10009016,one470
MRDS,10009095,one497
MRDS,10009898,one69
MRDS,10009881,one69
MRDS,10009945,two9
MRDS,10010078,one649
MRDS,10010080,one649
MRDS,10010082,one635
MRDS,10010413,one325
MRDS,10010543,one599
MRDS,10010599,one353
MRDS,10010845,one357
MRDS,10010860,one387
MRDS,10010901,one358
MRDS,10012715,one51
MRDS,10013296,two3
MRDS,10013400,one327
MRDS,10013716,one450
MRDS,10013747,one450
MRDS,10013869,one433
MRDS,10014642,two3
MRDS,10014643,one319
MRDS,10016215,one296
MRDS,10019056,one294
MRDS,10019320,one572
MRDS,10019389,one571
MRDS,10021001,one51
MRDS,10021394,one93
MRDS,10021395,one93
MRDS,10021470,one269
MRDS,10021617,one43
MRDS,10021933,one79
MRDS,10021937,one79
MRDS,10021966,one79
MRDS,10022033,one79
MRDS,10022646,one333
MRDS,10023258,one155
MRDS,10024530,one276
MRDS,10024464,one818
MRDS,10024462,one835
MRDS,10024463,one810
MRDS,10024459,one816
MRDS,10024460,one815
MRDS,10024461,one844
MRDS,10024465,one780
MRDS,10024466,one819
MRDS,10024467,one850
MRDS,10024468,one852
MRDS,10024469,one845
MRDS,10024470,one851
MRDS,10024471,one817
MRDS,10024472,one846
MRDS,10024473,one804
MRDS,10024474,one810
MRDS,10024475,one821
MRDS,10024476,one820
MRDS,10024477,one811
MRDS,10024478,one830
MRDS,10024479,one562
MRDS,10024480,one642
MRDS,10024481,one614
MRDS,10024482,one563
MRDS,10024494,one106
MRDS,10024495,one82
MRDS,10024496,one566
MRDS,10024498,one419
MRDS,10024501,one110
MRDS,10024502,one110
MRDS,10024504,one274
MRDS,10024505,one37
MRDS,10024508,one282
MRDS,10024509,one76
MRDS,10024510,one520
MRDS,10024511,one283
MRDS,10024513,one219
MRDS,10024514,one278
MRDS,10024529,one510
MRDS,10024515,one156
MRDS,10024518,one181
MRDS,10024520,one104
MRDS,10024522,one207
MRDS,10024523,one187
MRDS,10024526,one196
MRDS,10024527,one31
MRDS,10024528,one26
MRDS,10024533,one216
MRDS,10024534,one216
MRDS,10024535,one192
MRDS,10024536,one215
MRDS,10024538,one180
MRDS,10024570,one133
MRDS,10024571,one226
MRDS,10024572,one815
MRDS,10024573,one816
MRDS,10024574,one844
MRDS,10024575,one835
MRDS,10024576,one818
MRDS,10024577,one812
MRDS,10024578,one810
MRDS,10024579,one851
MRDS,10024580,one810
MRDS,10024581,one842
MRDS,10024582,one817
MRDS,10024583,one819
MRDS,10024584,one780
MRDS,10024590,one811
MRDS,10024585,one846
MRDS,10024586,one820
MRDS,10024587,one830
MRDS,10024588,one821
MRDS,10024589,one850
MRDS,10024591,one852
MRDS,10024592,one845
MRDS,10024593,one804
MRDS,10024594,one563
MRDS,10024595,one642
MRDS,10024860,one40
MRDS,10024864,one40
MRDS,10024917,one132
MRDS,10024923,one50
MRDS,10024989,one108
MRDS,10024993,one40
MRDS,10025781,one579
MRDS,10025903,two10
MRDS,10025906,two10
MRDS,10025907,two10
MRDS,10026473,one579
MRDS,10026478,one579
MRDS,10026486,one579
MRDS,10027541,one208
MRDS,10032111,one785
MRDS,10033073,one405
MRDS,10033088,one427
MRDS,10033096,one522
MRDS,10033126,one426
MRDS,10033145,one355
MRDS,10033242,one729
MRDS,10033306,one677
MRDS,10033279,one741
MRDS,10033280,one742
MRDS,10033281,one747
MRDS,10033282,one855
MRDS,10033285,one856
MRDS,10033286,one806
MRDS,10033287,one848
MRDS,10033288,one857
MRDS,10033289,one853
MRDS,10033290,one847
MRDS,10033291,one799
MRDS,10033307,one406
MRDS,10033292,one825
MRDS,10033293,one828
MRDS,10033294,one827
MRDS,10033295,one823
MRDS,10033296,one825
MRDS,10033297,one826
MRDS,10033298,one822
MRDS,10033299,one543
MRDS,10033300,one764
MRDS,10033301,one786
MRDS,10033302,one405
MRDS,10033303,one386
MRDS,10033304,one354
MRDS,10033305,one322
MRDS,10033308,one321
MRDS,10033309,one403
MRDS,10033387,one322
MRDS,10033431,one403
MRDS,10033757,one620
MRDS,10033759,one618
MRDS,10033760,one621
MRDS,10033787,one494
MRDS,10033762,one592
MRDS,10033763,one813
MRDS,10033764,one781
MRDS,10033765,one756
MRDS,10033766,one841
MRDS,10033767,one778
MRDS,10033768,one801
MRDS,10033770,one840
MRDS,10033771,one840
MRDS,10033772,one814
MRDS,10033788,one467
MRDS,10033773,one655
MRDS,10033774,one793
MRDS,10033775,one782
MRDS,10033776,one541
MRDS,10033777,one542
MRDS,10033778,one384
MRDS,10033779,one542
MRDS,10033780,one569
MRDS,10033781,one623
MRDS,10033782,one569
MRDS,10033783,one622
MRDS,10033785,one619
MRDS,10033786,one290
MRDS,10033790,one518
MRDS,10033791,one594
MRDS,10033792,one594
MRDS,10033793,one465
MRDS,10033794,one593
MRDS,10033795,one517
MRDS,10033935,one675
MRDS,10034098,one541
MRDS,10034255,one495
MRDS,10034268,one385
MRDS,10034305,one290
MRDS,10036920,one783
MRDS,10036921,one796
MRDS,10036507,one748
MRDS,10036655,one428
MRDS,10036657,one521
MRDS,10036660,one428
MRDS,10036661,one496
MRDS,10036803,one733
MRDS,10036804,one703
MRDS,10036817,one762
MRDS,10036825,one763
MRDS,10036919,one783
MRDS,10036898,one770
MRDS,10036903,one769
MRDS,10036922,one796
MRDS,10036923,one807
MRDS,10036924,one808
MRDS,10036925,one802
MRDS,10036926,one788
MRDS,10036927,one788
MRDS,10036930,one776
MRDS,10036943,one746
MRDS,10037016,one568
MRDS,10037023,one490
MRDS,10037854,one83
MRDS,10037860,one84
MRDS,10037911,one84
MRDS,10038010,one539
MRDS,10038078,one464
MRDS,10038079,one488
MRDS,10038083,one266
MRDS,10038112,one143
MRDS,10038232,one109
MRDS,10038127,one457
MRDS,10038190,one0
MRDS,10038191,one0
MRDS,10038192,one0
MRDS,10038194,one0
MRDS,10038195,one0
MRDS,10038230,one71
MRDS,10038231,one109
MRDS,10038233,one109
MRDS,10038234,one89
MRDS,10038235,one109
MRDS,10038236,one108
MRDS,10038260,one224
MRDS,10038297,one96
MRDS,10038313,one158
MRDS,10038315,one159
MRDS,10038415,one507
MRDS,10038416,one507
MRDS,10038419,one690
MRDS,10038420,one804
MRDS,10038421,one507
MRDS,10038422,one829
MRDS,10038424,one804
MRDS,10038427,one831
MRDS,10038428,one812
MRDS,10038430,one710
MRDS,10038431,one777
MRDS,10038433,one803
MRDS,10038434,one777
MRDS,10038435,one797
MRDS,10038436,one784
MRDS,10038439,one803
MRDS,10038441,one784
MRDS,10038442,one845
MRDS,10038443,one780
MRDS,10038444,one834
MRDS,10038445,one834
MRDS,10038447,one834
MRDS,10038448,one54
MRDS,10038449,one159
MRDS,10038450,one158
MRDS,10038622,one250
MRDS,10038682,one1
MRDS,10038694,one22
MRDS,10038699,one6
MRDS,10038802,one299
MRDS,10038748,one326
MRDS,10038764,one670
MRDS,10038765,one435
MRDS,10038766,one509
MRDS,10038769,one670
MRDS,10038770,one509
MRDS,10038771,one478
MRDS,10038772,one27
MRDS,10038773,one123
MRDS,10038791,one708
MRDS,10038796,one2
MRDS,10038808,one161
MRDS,10038809,one318
MRDS,10038814,one315
MRDS,10038819,one93
MRDS,10038825,one204
MRDS,10038826,one257
MRDS,10038836,one257
MRDS,10038919,one254
MRDS,10038877,one1
MRDS,10038911,one253
MRDS,10038917,one254
MRDS,10038920,one254
MRDS,10038921,one253
MRDS,10038922,one254
MRDS,10038928,one13
MRDS,10038935,one672
MRDS,10038973,one3
MRDS,10038974,one3
MRDS,10038975,one3
MRDS,10038976,one3
MRDS,10038990,one284
MRDS,10038991,one284
MRDS,10038992,one284
MRDS,10038994,one586
MRDS,10038999,one110
MRDS,10039019,one23
MRDS,10039026,one49
MRDS,10039042,one712
MRDS,10039044,one68
MRDS,10039047,one273
MRDS,10039048,one273
MRDS,10039049,one273
MRDS,10039050,one273
MRDS,10039056,one277
MRDS,10039064,one283
MRDS,10039076,one131
MRDS,10039077,one54
MRDS,10039086,one10
MRDS,10039091,one214
MRDS,10039112,one83
MRDS,10039114,one481
MRDS,10039159,one10
MRDS,10039160,one21
MRDS,10039161,one28
MRDS,10039177,one35
MRDS,10039178,one583
MRDS,10039179,one231
MRDS,10039180,one478
MRDS,10039181,one587
MRDS,10039182,one535
MRDS,10039183,one588
MRDS,10039185,one418
MRDS,10039186,one241
MRDS,10039188,one401
MRDS,10039189,one418
MRDS,10039190,one673
MRDS,10039235,one123
MRDS,10039191,one124
MRDS,10039192,one653
MRDS,10039193,one566
MRDS,10039194,one694
MRDS,10039195,one400
MRDS,10039196,one673
MRDS,10039197,one175
MRDS,10039199,one267
MRDS,10039201,one674
MRDS,10039202,one512
MRDS,10039203,one174
MRDS,10039204,one615
MRDS,10039205,one615
MRDS,10039206,one82
MRDS,10039207,one127
MRDS,10039208,one125
MRDS,10039213,one161
MRDS,10039215,one834
MRDS,10039216,one831
MRDS,10039217,one809
MRDS,10039218,one849
MRDS,10039219,one809
MRDS,10039220,one791
MRDS,10039221,one815
MRDS,10039222,one447
MRDS,10039223,one447
MRDS,10039230,one17
MRDS,10039231,one17
MRDS,10039233,one76
MRDS,10039238,one226
MRDS,10039240,one251
MRDS,10039241,one252
MRDS,10039243,one671
MRDS,10039244,one692
MRDS,10039245,one709
MRDS,10039247,one83
MRDS,10039248,one127
MRDS,10039250,one362
MRDS,10039251,one789
MRDS,10039276,one177
MRDS,10039278,one176
MRDS,10039280,one60
MRDS,10039282,one132
MRDS,10039284,one78
MRDS,10039305,one670
MRDS,10039293,one434
MRDS,10039294,one805
MRDS,10039295,one849
MRDS,10039297,one528
MRDS,10039298,one412
MRDS,10039299,one507
MRDS,10039300,one530
MRDS,10039301,one211
MRDS,10039304,one710
MRDS,10039306,one454
MRDS,10039310,one708
MRDS,10039311,one708
MRDS,10039312,one708
MRDS,10039313,one32
MRDS,10039315,one477
MRDS,10039317,one19
MRDS,10039318,one411
MRDS,10039320,one360
MRDS,10039322,one331
MRDS,10039324,one232
MRDS,10039325,one24
MRDS,10039327,one533
MRDS,10039329,one123
MRDS,10039330,one509
MRDS,10039331,one477
MRDS,10039332,one24
MRDS,10039333,one121
MRDS,10039334,one233
MRDS,10039335,one121
MRDS,10039336,one818
MRDS,10039337,one233
MRDS,10039338,one708
MRDS,10039339,one688
MRDS,10039340,one15
MRDS,10039341,one530
MRDS,10039342,one331
MRDS,10039343,one482
MRDS,10039348,one564
MRDS,10039349,one284
MRDS,10039350,one117
MRDS,10039352,one379
MRDS,10039353,one83
MRDS,10039354,one67
MRDS,10039355,one588
MRDS,10039356,one589
MRDS,10039357,one459
MRDS,10039358,one461
MRDS,10039359,one307
MRDS,10039360,one487
MRDS,10039361,one512
MRDS,10039371,one220
MRDS,10039378,one460
MRDS,10039579,one228
MRDS,10040008,one90
MRDS,10040151,one407
MRDS,10040157,one773
MRDS,10040159,one773
MRDS,10040166,one760
MRDS,10040170,one770
MRDS,10040180,one775
MRDS,10040181,one703
MRDS,10040222,one292
MRDS,10040483,one513
MRDS,10040671,one445
