,dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,geometry,GroupID
683,10098359,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10098359,M030037,,Climax Mine,37.23552,-116.05337,,United States,Nevada,Nye,M,"Gold, Silver",,"Molybdenum, Tungsten",Unknown,,S,Past Producer,"Powellite, Scheelite",,,,,,,,Tamney Tungsten Property,,"Theodore, Ted G., Wong, George (Roberts, Ralph)",Ninemile Formation Of The Pogonip Group,"Skarn (Tactite),Limestone",,"Quartz Monzonite,Diorite",,,"SCHALLER; 1911 ; MINERALOGICAL NOTES; USGS BULL. 490IZETT, G.A., 1960, ""GRANITE"" EXPLORATION HOLE, AREA 15, NEVADA TEST SITE, NYE COUNTY, NEVADA-ITERIM REPORT, PART C, PHYSICAL PROPERTIES:  USGS TEM-836C.BARNES, HARLEY, HOUSER, F.N., AND POOLE, F.G., 1963, GEOLOGIC MAP OF THE OAK SPRING QUADRANGLE, NYE COUNTY, NEVADA: USGS MAP GQ-214.HOUSER, F.N., AND POOLE, F.G., 1960, PRELIMINARY GEOLOGIC MAP OF THE CLIMAX STOCK AND VICINITY, NYE COUNTY, NEVADA:USGS MAP I-328.5) KRAL, V.E., 1951, MINERAL RESOURCES OF NYE CO: NBMG BULL. 50, P. 139-140.",,,,,,1937.0,,V.A. Tamney,B,POINT (-116.05337 37.23552),2
1217,10198489,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10198489,,320230764,Goldfield Adit,37.23386,-116.05277,,United States,Nevada,Nye,M,Tungsten,,,Underground,,,Prospect,,,,,,,,,"Tamney Properties, Climax Stock, Wahmonie Workings",,"Ridenour, James",,,,,,,"NV. BUREAU OF MINES AND GEOL. OFR 84-2, 1984, P. 17, 20; FIG. 9,P. 18; APPENDIX A, SAMPLE NOS. 1930-1932.",,,,,,,,,D,POINT (-116.05277 37.23386),2
1091,10173890,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10173890,,320230765.0,Granite Tunnel,37.23186,-116.05417,,United States,Nevada,Nye,M,Tungsten,,,Underground,,,Prospect,,,,,,,,,"Tamney Properties, Climax Stock, Wahmonie Workings",,"Raney, Russell G.",,,,,,,"NV. BUREAU OF MINES AND GEOL. OFR 84-2, 1984, P. 20; APPENDIX A,SAMPLE NOS. 1852A AND B, 1938.",,,,,,,,,D,POINT (-116.05417 37.23186),2
534,10046754,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10046754,M241959,,The Climax Stock,37.2444,-116.07587,,United States,Nevada,Nye,B,"Copper, Gold, Silver, Gemstone",Lead,"Molybdenum, Tungsten",Unknown,,S,Occurrence,"Chalcopyrite, Galena, Gold, Iron, Pyrite, Pyrrhotite, Scheelite, Wulfenite","Garnet, Quartz",,,,,"Argillic, Chloritic, Silicic Alteration Of Granodiorite",,Oak Spring Area,Fracturing Of Granodiorite; Igneous Contact With Limestone; Faults,"La Pointe, D.D. (Tingley, J.V.)",Pogonip Group,"Limestone,Dolomite",Climax Stock,Diorite,"Post-Ore Faulting Has ""Smeared"" Some Scheelite",,"QUADE, J. AND BENTZ, J., 1982-83, FIELD EXAMINATION.HOUSER, F. AND POOLE, F., PRELIM. GEOL. MAP OF THE CLIMAX STOCK, 1960.LINCOLN, F.C., 1923, MINING DISTRICTS AND MINERAL RESOURCES OF NEVADABALL, S.H., 1906, USGS BULL 285.LINCOLN, 1923",,,,,,1905.0,,,B,POINT (-116.07587 37.2444),2
535,10046757,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10046757,M241962,,Oak Springtungsten Mine,37.23579,-116.05309,,United States,Nevada,Nye,B,"Tungsten, Gemstone",,"Copper, Silver, Gold",Unknown,,S,Past Producer,"Powellite, Scheelite","Calcite, Epidote, Idocrase, Pyroxene, Quartz",,TABULAR TO IRREGULAR,Underground,,,,"Climax Group, Climax Guard Group, Tamney Tungsten Property, Climax Mine",,"Hefner, M.L. (Tingley, J.V.)",Nine Mile (Pogonip Group),Limestone,Climax Stock,Diorite,,,"KRAL, V.E, 1951, MINERAL RESOURCES OF NYE CO: NBMG BULL. 50, P. 139-140.CORNWALL, H.R., 1972, GEOLOGY AND MINERAL DEPOSITS OF SOUTHERN NYE CO: NBMG BULL. 77, P. 39HILL, J.M., 1938, UNPUBLISHED REPORT NBMG1957, FINAL REPORT: CLIMAX TUNGSTEN CO. (CLIMAX MINE) NYE CO., NEV.  BUREAU OF MINES AND USGS DMEA FILE NO. 4660 (MERCURY).NORBERG, J.R., 1977, USBM, MINERAL RESOURCES IN THE VICINITY OF NELLIS A.F.B., ETC.UNPUBLISHED, USBM DATA, 1963, NBMG FILE 243, ITEM 1.BENSON, B.T., 1954, MEMORANDUM REPORT OF EXAMINATION; OAK SPRING TUNGSTEN, NYE CO., NEV. PROP. FILE NO. 7472.JOHNSON, M.S. AND D.E. HIBBARD, 1957, GEOL. OF THE A-EG. PROVING GROUNDS AREA, NEV: USGS BULL 1021-K, PP. 380-381USGS, DMEA 4301, IDM-E1028 (TUNGSTEN) MAPS.STAGER, H.K., IN PRESS, TUNGSTEN DEPOSITS OF NEVADA, NBMG BULL.11) QUADE, J. AND BENTZ, J., 1982-83, FIELD EXAMINATIONNORBERG, J.R., 1977.JOHNSON & HIBBARD, 1957 P. 381; NORBERG, J.R., 1977, P. 81.",,,,,,1905.0,,,B,POINT (-116.05309 37.23579),2
1323,10222677,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10222677,M241959,320230989,The Climax Stock,37.24436,-116.07587,,United States,Nevada,Nye,M,Copper,,"Tungsten, Silver, Molybdenum, Lead, Gold",Underground,,,Prospect,,,,,,,,,,,"Ridenour, James",,,,,,,"NV. BUREAU OF MINES AND GEOL. OFR 84-2, 1984, P. 25.",,,,,,,,,D,POINT (-116.07587 37.24436),2
875,10125673,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10125673,,320230015,Garnetyte Lode,37.23416,-116.04727,,United States,Nevada,Nye,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,Thiriot Prospect,,"Ridenour, James",,,,,,,"BARNES, HARLEY, AND OTHERS, GEOLOGIC MAP OF THE OAK SPRINGQUADRANGLE, NYE COUNTY, NEVADA: U.S. GEOLOGICAL SURVEY MAPGQ-214, 1:24,000 SCALE (PROPERTY NOT IDENTIFIED ON MAP).KRAL, V.E., 1951, MINERAL RESOURCES OF NYE COUNTY, NEVADA:UNIV. OF NEVADA BULLETIN, VOL. XLV, NO. 3, P. 140.QUADE, JACK, AND TINGLEY, J.V., 1984, A MINERAL INVENTORY OFTHE NEVADA TEST SITE, AND PORTIONS OF THE NELLIS BOMBINGAND GUNNERY RANGE, SOUTHERN NYE COUNTY, NEVADA: NEV. BUR.MINES AND GEOL. OPEN FILE REPT. 84-2, P. 20-24, FIG. 12,P. 22.",,,,,,,,,D,POINT (-116.04727 37.23416),2
866,10125549,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10125549,,320230009,Climax Mine,37.23556,-116.05337,,United States,Nevada,Nye,M,Tungsten,,,Underground,,,Prospect,,,,,,,,,"Carlisle Adit, Climax",,"Ridenour, James",,,,,,,"NEV. BUREAU OF MINES BULLETIN 50, 1951, P. 138-139.U.S. GEOLOGICAL SURVEY GEOLOGIC MAP GQ-214, 1963.NEV. BUREAU OF MINES AND GEOL. OPEN-FILE REPORT 84-2, P. 11;FIG. 8, P. 16.",,,,,,,,,D,POINT (-116.05337 37.23556),2
377,10044519,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044519,M231968,,Indian Trail Group,37.22385,-116.0592,,United States,Nevada,Nye,M,Tungsten,,,Unknown,Contact Metamorphic,S,Past Producer,Scheelite,,,,,,,,,,"Wong, George (Roberts, Ralph)",,Quartz Monzonite,,,,,"KRAL, V.E., MINERAL RESOURCES OF NYE CO.:  NBMG BULL. 50, P. 14KRAL, 1951, P. 140.",,,,,,,,,C,POINT (-116.0592 37.22385),2
1325,10222700,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10222700,D001204,320230132,Tamney Tungsten Mine,37.24276,-116.06227,,United States,Nevada,Nye,M,Tungsten,,,Underground,,,Prospect,,,,,,,,,Oak Springs Tungsten Prospect,,"Ridenour, James",,,,,,,"U.S. BUREAU OF MINES FILES (WFOC).NV. BUREAU OF MINES AND GEOL. OFR 84-2, 1984, FIG. 4, P. 11;FIG. 6, P. 13; APPENDIX A, SAMPLE NOS. 1827, 1928, AND1929.",,,,,,,,,D,POINT (-116.06227 37.24276),2
