ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0207f51caddf08f72c2b6fab123b60fd5e7f77e36431ba511cfb5d4f4d0dde7835,https://api.cdr.land/v1/docs/documents,0207f51caddf08f72c2b6fab123b60fd5e7f77e36431ba511cfb5d4f4d0dde7835,Mexico,Chihuahua,POINT(-105.583333 27.250000),EPSG:4326,"",NI 43-101 Technical Report for the Cordero Project in North America dated May 2013.pdf,"Copper,Silver,Molybdenum,Zinc","Diapreme breccia hosted Ag, Au, Zn, Pb bulk tonnage mineralization,High-sulfidation (HS) epithermal silver-gold ± Cu,Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn,MVT zinc-lead,Massive sulfide intergrown galena, sphalerite, and pyrite, manto style,Orogenic silver-lead- zinc-copper- antimony,Porphyry gold ± copper,Porphyry style Ag, Au, Zn, Pb disseminated and stockwork veining sulfides"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02118e7d9968a616f289ae3a5cfb3ec74dae5e9440e5bf64d30205ff6848865795,https://api.cdr.land/v1/docs/documents,02118e7d9968a616f289ae3a5cfb3ec74dae5e9440e5bf64d30205ff6848865795,Canada,British Columbia,POINT(-131.09250 56.66667),EPSG:4326,"",Bronson Slope Project,"Copper,Molybdenum,Silver,Gold","Magnetite- dominant IOCG,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry gold ± copper,Skarn gold ± copper ± tungsten"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445,https://api.cdr.land/v1/docs/documents,021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445,Canada,British Columbia,POINT(-129.783333 57.7),EPSG:4326,"",Red Chris Project,"Molybdenum,Gold,Silver,Copper","High-sulfidation (HS) epithermal silver-gold ± Cu,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry gold ± copper,Volcanic-hosted copper,alkalic porphyry,calc-alkalic porphyry,high-K calc-alkalic"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022456908a1dd5614960830af652c360405783dbc65ca3858c5bbca80b46f9c5b1,https://api.cdr.land/v1/docs/documents,022456908a1dd5614960830af652c360405783dbc65ca3858c5bbca80b46f9c5b1,Canada,British Columbia,POINT(-126.833333 54.416667),EPSG:4326,"",NI 43-101 Technical Report for the Poplar Project in North America dated April 2004.pdf,Molybdenum,"Low-fluorine porphyry molybdenum,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,gold-silver,porphyry copper-molybdenum"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022e593b60941205b59e8812380089d745f30cd21743ef8a6122f71556903cae0a,https://api.cdr.land/v1/docs/documents,022e593b60941205b59e8812380089d745f30cd21743ef8a6122f71556903cae0a,Canada,British Columbia,POINT(126.667 54.417),EPSG:4326,"",NI 43-101 Technical Report for the Poplar Project in North America dated June 2004.pdf,"Copper,Molybdenum","Climax-type porphyry molybdenum,Low-fluorine porphyry molybdenum,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,copper-molybdenum (gold-silver) porphyry"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02396a4c3ed10aec5f46d55cc3724ac2a6109d5b325b93762e2664b51ffa7237cf,https://api.cdr.land/v1/docs/documents,02396a4c3ed10aec5f46d55cc3724ac2a6109d5b325b93762e2664b51ffa7237cf,United States,Alaska,POINT(-160.349532 55.252195),EPSG:4326,"",Pyramid Project,"Molybdenum,Gold,Copper","Low-fluorine porphyry molybdenum,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,porphyry copper-molybdenum-gold"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__023a24d528c3c40cc37eb250e48d6ca1245de1b65421db2c1026d71d692d291236,https://api.cdr.land/v1/docs/documents,023a24d528c3c40cc37eb250e48d6ca1245de1b65421db2c1026d71d692d291236,Canada,British Columbia,POINT(-131.0925 56.6667),EPSG:4326,"",NI 43-101 Technical Report for the Iskut Project in North America dated May 2012.pdf,"Molybdenum,Silver,Copper,Gold","Alkalic epithermal gold ± Ag,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0241e65394b4209366e2e8d3764b8e4325658a57a446dcfa98805d7974de816c0c,https://api.cdr.land/v1/docs/documents,0241e65394b4209366e2e8d3764b8e4325658a57a446dcfa98805d7974de816c0c,Canada,British Columbia,POINT(-131.0833 56.6667),EPSG:4326,"",Bronson Slope Project,"Molybdenum,Copper,Gold,Silver","Low-fluorine porphyry molybdenum,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,porphyry copper-gold"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__024360a2b750f3f5cd928632018fe6be94bbc46be5dde7643145fd70d34f1d998e,https://api.cdr.land/v1/docs/documents,024360a2b750f3f5cd928632018fe6be94bbc46be5dde7643145fd70d34f1d998e,Canada,British Columbia,POINT(-131.0925 56.6667),EPSG:4326,"",Bronson Slope Project,"Gold,Copper,Molybdenum,Silver","Orogenic copper ± gold,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,Skarn gold ± copper ± tungsten,porphyry copper-gold deposit"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__024a7f275c00fe7d4aa1f611b4562379a83457d208dd0a1d0d6d56a0e203520807,https://api.cdr.land/v1/docs/documents,024a7f275c00fe7d4aa1f611b4562379a83457d208dd0a1d0d6d56a0e203520807,Mexico,Chihuahua,"","","",NI 43-101 Technical Report for the Cordero-Sanson Project in North America dated July 2008.pdf,Molybdenum,"MVT zinc-lead,Mo porphyry,Orogenic copper ± gold,Orogenic silver-lead- zinc-copper- antimony,Porphyry gold ± copper,Supergene silver,epithermal veins,polymetallic (Ag, Pb, Zn) porphyry-related,skarn"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0254b9007acdd0e362a6952eca0bfabfe2404166546fbee1cf3647ac3bda4594de,https://api.cdr.land/v1/docs/documents,0254b9007acdd0e362a6952eca0bfabfe2404166546fbee1cf3647ac3bda4594de,Canada,British Columbia,POINT(-127.7125 54.854167),EPSG:4326,"",Louise Lake Project,"Silver,Copper,Molybdenum,Gold","Magnetite- dominant IOCG,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__025538375bb69b3237d566c7e82c2a84f63c2f7454fa2e1702708c275afa4e0823,https://api.cdr.land/v1/docs/documents,025538375bb69b3237d566c7e82c2a84f63c2f7454fa2e1702708c275afa4e0823,United States,Alaska,POINT(-155.2967 59.8983),EPSG:4326,"","NI 43-101 Technical Report for the Pebble Project in Alaska, United States dated May 2004.pdf","Gold,Copper,Molybdenum",",Orogenic copper ± gold,Pebble Porphyry Gold-Copper-Molybdenum,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,Sill Epithermal Gold,Supergene copper,Thirty-Eight Porphyry Copper-Gold-Molybdenum,Thirty-Seven Copper-Gold Skarn"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0266e9272ad2a7f6b36fe18b7172d7555910667ece8c786afb12c976b4da7863ec,https://api.cdr.land/v1/docs/documents,0266e9272ad2a7f6b36fe18b7172d7555910667ece8c786afb12c976b4da7863ec,Canada,British Columbia,POINT(-124.9222 50.283333),EPSG:4326,"","NI 43-101 Technical Report for the Redonda project in Canada dated March, 2022.pdf",Molybdenum,"Low-fluorine porphyry molybdenum,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,Skarn tin ± copper ± Mo,iron skarns,porphyry copper"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0282e6dce97de616aaf04fd060c0c4652f79a4829e840b835cad0e4e6fa78b2697,https://api.cdr.land/v1/docs/documents,0282e6dce97de616aaf04fd060c0c4652f79a4829e840b835cad0e4e6fa78b2697,Armenia,Lori Region,POINT(44.8075 41.2025),EPSG:4326,"","NI 43-101 Technical Report for the Teghout Project in Middle East, Armenia dated April 2001.pdf","Copper,Molybdenum","Low-fluorine porphyry molybdenum,Orogenic copper ± gold,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,porphyry copper-molybdenum"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02855c7e7b75c5c849650174b457b8641d6fbca279bdc6ea75ab41d00d1fc43534,https://api.cdr.land/v1/docs/documents,02855c7e7b75c5c849650174b457b8641d6fbca279bdc6ea75ab41d00d1fc43534,United States,Nevada,POINT(-117.127 41.683),EPSG:4326,"",Nevada Project,"Arsenic,Titanium,Chromium,Molybdenum,Calcium,Aluminum,Lithium,Strontium,Iron,Potassium,Rubidium","Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),MVT fluorspar,MVT zinc-lead,lithium-rich clay minerals including illite and smectite, specifically hectorite"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0285f040a694da875bb7beaba7366fe02f29b2070e65633cb395a28feb4bf303f6,https://api.cdr.land/v1/docs/documents,0285f040a694da875bb7beaba7366fe02f29b2070e65633cb395a28feb4bf303f6,Mexico,Michoacán de Ocampo,POINT(-102.935556 19.127778),EPSG:4326,"",Tepal Project,"Gold,Copper,Silver,Molybdenum","Orogenic copper ± gold,Porphyry Copper-Gold deposit,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,Supergene copper"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0290e7b51273224b99f8cc2c937d78cabf6b8c3f30441e64575e32ca3c8808ec7a,https://api.cdr.land/v1/docs/documents,0290e7b51273224b99f8cc2c937d78cabf6b8c3f30441e64575e32ca3c8808ec7a,United States,Nevada,POINT(-119.3 38.6),EPSG:4326,"",Ann Mason Project,"Copper,Molybdenum","Orogenic copper ± gold,Porphyry Copper Deposits,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,Supergene Oxide Copper Deposits,Supergene copper"
