ms_uri,source_id,record_id,country,state_or_province,crs,other_names,site_name,commodity,deposit_type,longitude,latitude,location,GroupID_location,link_method,GroupID_text
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067593,https://mrdata.usgs.gov/mrds,10067593,United States,Alaska,EPSG:4326,"",North Tip of Fleming Island,"balt,pper,","Arc U-M intru- sion nickel- copper-PGE,Laterite nickel,Vein cobalt ± Ni",-136.30871,57.78527,POINT (-136.3087099999999907 57.7852699999999828),274,GEO,https://mrdata.usgs.gov/mrds1443
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085285,https://mrdata.usgs.gov/mrds,10085285,Finland,"",EPSG:4326,"",Enonkoski,"","Black shale nickel ± Mo- PGE,Laterite nickel,Ophiolite nickel-copper-PGE,Vein ± replacement nickel",26.26943,64.49892,POINT (26.2694299999999963 64.4989199999999983),145,GEO,https://mrdata.usgs.gov/mrds24
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000643,https://mrdata.usgs.gov/mrds,60000643,South Africa,"",EPSG:4326,"Potgietersrus Limb,Tweefontein,Zwartfontein",Platreef,"balt,,pper, elements","U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",28.90141,-23.9467,POINT (28.9014099999999985 -23.9466999999999999),426,GEO,https://mrdata.usgs.gov/mrds769
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10105495,https://mrdata.usgs.gov/mrds,10105495,United States,Maryland,EPSG:4326,"",Pataps,"balt,pper,","Anorthosite conduit nickel- copper-PGE,Ophiolite nickel-copper-PGE,Vein cobalt ± Ni",-76.87884,39.48613,POINT (-76.8788399999999825 39.4861300000000028),665,GEO,https://mrdata.usgs.gov/mrds667
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024463,https://mrdata.usgs.gov/mrds,10024463,Canada,Ontario,EPSG:4326,"",Strathna,",balt,,Silver,pper, elements,Gold,",Impact U-M intrusion nickel- copper-PGE,-81.33896,46.67499,POINT (-81.3389599999999859 46.6749899999999940),755,GEO,https://mrdata.usgs.gov/mrds257
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10173251,https://mrdata.usgs.gov/mrds,10173251,United States,Montana,EPSG:4326,Spanish Peaks Primitive Area,Deer,",pper","Anorthosite conduit nickel- copper-PGE,U-M conduit nickel-copper- PGE",-111.21613,45.30021,POINT (-111.2161299999999926 45.3002099999999999),645,GEO,https://mrdata.usgs.gov/mrds207
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10109559,https://mrdata.usgs.gov/mrds,10109559,Canada,Ontario,EPSG:4326,"",Boundary,",,Gold,Silver,pper","Impact U-M intrusion nickel- copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",-81.32312,46.69721,POINT (-81.3231200000000030 46.6972099999999983),755,GEO,https://mrdata.usgs.gov/mrds124
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036920,https://mrdata.usgs.gov/mrds,10036920,United States,Washington,EPSG:4326,"",Bean Area 2,",Iron,","Hematite- dominant IOA,Iron oxide poly- metallic,Lacustrine iron formation,Oolitic iron formation,Paleochannel iron",-120.86451,47.40315,POINT (-120.8645100000000099 47.4031499999999895),622,GEO,https://mrdata.usgs.gov/mrds370
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10284358,https://mrdata.usgs.gov/mrds,10284358,United States,California,EPSG:4326,"",rral Laterite,",balt,",Laterite nickel,-124.01506,41.93902,POINT (-124.0150600000000054 41.9390199999999993),745,GEO,https://mrdata.usgs.gov/mrds3022
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10244067,https://mrdata.usgs.gov/mrds,10244067,United States,Missouri,EPSG:4326,"",Buick,"pper,,,,Silver,balt,","Kipushi-type sediment- hosted copper- zinc-lead,MVT zinc-lead,Replacement zinc-lead",-91.12263,37.60586,POINT (-91.1226300000000009 37.6058599999999998),489,GEO,https://mrdata.usgs.gov/mrds1316
