country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,loc_GroupID,GroupID_location,GroupID_text
Mali,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__5,https://mrdata.usgs.gov/ree,5,"",EPSG:4326,"",Anezrouf,",,","Apatite intrusion REE,Apatite- nepheline- titanite intrusion,Carbonatite REE,Peralkaline igneous HFSE- REE,carb",GEO,ALL6282,GROUP0,GROUPALL6282
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__19,https://doi.org/10.4095/295581,19,"",EPSG:4326,"",Josefina,"","",GEO,ALL34,GROUP1,GROUPALL34
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__12,https://doi.org/10.4095/295581,12,"",EPSG:4326,"",San Rafael,"","",GEO,ALL37,GROUP1,GROUPALL37
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__16,https://doi.org/10.4095/295581,16,"",EPSG:4326,"",Grupo ro del Valle,"","",GEO,ALL111,GROUP1,GROUPALL111
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__17,https://doi.org/10.4095/295581,17,"",EPSG:4326,"",El Morro,"","",GEO,ALL117,GROUP1,GROUPALL117
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__21,https://doi.org/10.4095/295581,21,"",EPSG:4326,"",Los Avestruces-Las Asperazas,"","",GEO,ALL124,GROUP1,GROUPALL124
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__22,https://doi.org/10.4095/295581,22,"",EPSG:4326,"",Los ndores-El Aguila,"","",GEO,ALL146,GROUP1,GROUPALL146
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__13,https://doi.org/10.4095/295581,13,"",EPSG:4326,"",Agua de Ramon,"","",GEO,ALL152,GROUP1,GROUPALL152
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__24,https://doi.org/10.4095/295581,24,"",EPSG:4326,"",San Antonio,"","",GEO,ALL155,GROUP1,GROUPALL155
Argentina,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10004272,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10056506",https://mrdata.usgs.gov/mrds,"10004272,10056506",Catamarca,EPSG:4326,"Segundo,Victoria,Nueva,Manuel Vein Main One,Rincon Section,Toro Cross-Cut,Other Veins Trece,Cuto,Santa Delia,Trece",San Antonio,",,,,,,pper,","Vein tungsten,Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL155,GROUP1,GROUPALL155
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__18,https://doi.org/10.4095/295581,18,"",EPSG:4326,"",El Zinqui,"","",GEO,ALL160,GROUP1,GROUPALL160
Argentina,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__26,https://doi.org/10.4095/295581,26,"",EPSG:4326,"",San Mar,"","",GEO,ALL193,GROUP1,GROUPALL193
