ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2,https://api.cdr.land/v1/docs/documents,0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2,Canada,British Columbia,"","","",NI 43-101 Technical Report for the Turnagain Project in North America dated March 2007.pdf,"Nickel,Copper,Cobalt","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Vein cobalt ± Ni,ultramafic associated magmatic nickel sulphide deposit"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__020148de24da358c707b641b1e4c8feb7d9687f181e03e1ec84632f696f725bb29,https://api.cdr.land/v1/docs/documents,020148de24da358c707b641b1e4c8feb7d9687f181e03e1ec84632f696f725bb29,Canada,British Columbia,POINT(-124.695555555556 51.4958333333333),EPSG:4326,"","NI 43-101 Technical Report for the AI project in Canada dated February, 2022.pdf",Nickel,"Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,magmatic-hosted nickel-copper (Ni-Cu) sulphides with platinum group elements (PGE)"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021990473ff183b072d4b813de1c86278b60f7a05b6b8625ee7878f29ee9fb683a,https://api.cdr.land/v1/docs/documents,021990473ff183b072d4b813de1c86278b60f7a05b6b8625ee7878f29ee9fb683a,United States,Alaska,"","","","NI 43-101 Technical Report for the MAN Project in Alaska, United States dated 2002.pdf",Nickel,"Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,magmatic Ni-Cu-PGE sulphide mineralization"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0219eb5842ff591f85afc9e4525c42d3e1a1e0fc404c53d7ea2d286d13966d9414,https://api.cdr.land/v1/docs/documents,0219eb5842ff591f85afc9e4525c42d3e1a1e0fc404c53d7ea2d286d13966d9414,Canada,Ontario,POINT(-80.998 46.49),EPSG:4326,"",Sudbury Basin Project,"Nickel,Gold,Palladium,Copper,Platinum","Arc U-M intru- sion nickel- copper-PGE,Contact Deposits,Footwall Deposits,Komatiite nickel-copper-PGE,Offset Deposits,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Vein ± replacement nickel"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,https://api.cdr.land/v1/docs/documents,021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,Brazil,Ceará,"","","",Pedra Branca Project,"Cobalt,platinum-group elements,Platinum,Copper,Gold,Nickel","Komatiite nickel-copper-PGE,Magnetite- dominant IOCG,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021d815ab42768146b121313260e1c3b15714ef7ef597ef121b35f143aafc246bd,https://api.cdr.land/v1/docs/documents,021d815ab42768146b121313260e1c3b15714ef7ef597ef121b35f143aafc246bd,United States,Minnesota,"","","",Tamarack South Project,Nickel,"Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,layered PGE-Au mineralization,magmatic Ni-Cu-PGE sulphide mineralization"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02222ab44dc689a6296f61d031a5ef7b054b134b16dd6e3e6a0c798960e2c399b4,https://api.cdr.land/v1/docs/documents,02222ab44dc689a6296f61d031a5ef7b054b134b16dd6e3e6a0c798960e2c399b4,Canada,Ontario,POINT(-81.002410 46.490002),EPSG:4326,"",Premiere Ridge Project,"Gold,Platinum,Nickel,Palladium,Copper,Cobalt,Silver","Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,MVT zinc-lead,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,contact,footwall,offset dike"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548,https://api.cdr.land/v1/docs/documents,023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548,Canada,Ontario,POINT(-81.4167 46.4667),EPSG:4326,"",NI 43-101 Technical Report for the Graham Project in North America dated January 2009.pdf,"Gold,Sulfur,Platinum,Cobalt,Nickel,Palladium,Silver","Anorthosite conduit nickel- copper-PGE,Arc U-M intru- sion nickel- copper-PGE,Contact-type massive to disseminated sulphides,Copper and PGE-rich footwall veins and stockworks,Impact U-M intrusion nickel- copper-PGE,Offset quartz-norite dikes,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0247231e89f9350afb96e978b6c3e7afa0c3a6f3de5b93b468b5f26a55f7688580,https://api.cdr.land/v1/docs/documents,0247231e89f9350afb96e978b6c3e7afa0c3a6f3de5b93b468b5f26a55f7688580,Canada,Quebec,POINT(-70.01833 60.02028),EPSG:4326,"",Payne Bay Project,Nickel,"Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__024b24cdb57dc87bde750df0a4b285cfe27d5de0c91dcff4b54b627ad78867681f,https://api.cdr.land/v1/docs/documents,024b24cdb57dc87bde750df0a4b285cfe27d5de0c91dcff4b54b627ad78867681f,Canada,"","","","",NI 43-101 Technical Report for the Snowbird Project in North America dated June 2010.pdf,Nickel,"Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,magmatic nickel-copper sulphide deposit"
