ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_site99b3152b5ac7be2e38375716b0e02f15392283dc5cebb90a9cf828270bb0897a,Blashke Islands,,Alaska,"POINT (-132.90465, 56.12393)",3.0
https://minmod.isi.edu/resource/mineral_sitea2864346076de4d9d94642cc88881b512d71011715f25d832220ef28075fb59e,"NI 43-101 Technical Report for the Isortoq Project in North America, Greenland dated April 2012",,Qaqortoq District,POINT(-47.43166667 60.9641388889),3397.0
https://minmod.isi.edu/resource/mineral_site90daa70959532c41c51779d6706b819901c466550b4c7b38944b2b4341393c2b,Mineral Lake Cu-Ni Prospect,,Wisconsin,"POINT (-90.80791, 46.29917)",3378.0
https://minmod.isi.edu/resource/mineral_site3111312442d3fa49659f2fea8b0f642df5f926efe9011f2ed1346b12a0b995bf,NI 43-101 Technical Report for the Crawford Project in Canada dated March 2020,,Ontario,POINT(-81.3335 48.8073),3381.0
https://minmod.isi.edu/resource/mineral_site89ab84d7df062f4e3231254b6d710683e5121170d950029dc6723d9afa53beb5,NI 43-101 Technical Report for the Maskwa Project in North America dated May 2008,,Manitoba,POINT(-95.441 50.4728),3382.0
https://minmod.isi.edu/resource/mineral_site125971a1c91f6fcc07e3ea6c4a0d10a88ae0cd0925c33143b43776ed0a5fcb17,Spirit Mountain,,Alaska,"POINT (-144.26501, 61.30904)",3383.0
https://minmod.isi.edu/resource/mineral_site3e0d001fbffc7e295ddad9c4cfb1613be807e43088ee90bae16fea8dcb3c54ae,Bonne Terre Mine,,Missouri,"POINT (-90.54841, 37.92196)",3386.0
https://minmod.isi.edu/resource/mineral_siteb24edfef340b138c3fa139427b0adf8c9059603dfb03b901f1b4b6dd892f67c7,"NI 43-101 Technical Report for the Northmet Project in Minnesota, United States dated September 1999",,Minnesota,POINT(-91.916667 47.516667),3387.0
https://minmod.isi.edu/resource/mineral_sitec10aa11bea62f6bd6eb117c0bd61c57176247fb9e3f2da1b9371532d2dc0540e,O'Okiep Copper Company Limited,,Eastern Cape,"POINT (17.91827, -29.66326)",3389.0
https://minmod.isi.edu/resource/mineral_sited067f7cec932159483aab7c6b3c431a8a9fefeda8102e14a7ca01cd532bdf869,Parker Lake,,Northwest Territories,"POINT (-94.00037, 62.86695)",3390.0
https://minmod.isi.edu/resource/mineral_site3a4b0a8f83c4d0927ce9321d90888ee6c96713adef27b7de78ac67c6bed01fc2,NI 43-101 Technical Report on the Maturi Birch Lake and Spruce Road Copper-Nickel-PGE Projects Ely Minnesota USA,,Minnesota,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",3399.0
https://minmod.isi.edu/resource/mineral_site01e7c27b0eb69ab63227f2c26767293ba7201a6005a4ebfd3ec19a7f9809c2fb,Marbridge Nickel Mine-Canada,,Quebec,"POINT (-78.49968, 48.0)",3422.0
https://minmod.isi.edu/resource/mineral_siteecd17da148cc16344874febdb45f65f7bc90252d004906f9bb0455b4a0b3a615,Ore Fault,,Manitoba,"POINT (-95.50866, 50.47639)",3404.0
https://minmod.isi.edu/resource/mineral_site1e20e683b1175a656f06c9cce52fde6e38f83c8661b3ee23e2daaa24b2270227,Rainy Creek Ultramafic,,Alaska,"POINT (-145.90213, 63.32326)",3406.0
https://minmod.isi.edu/resource/mineral_site802226b544e0454adfa239b0d1e9cfbc395ced6b71e601ccb31285da62e2b49b,Nickel Rim Mine,,Ontario,"POINT (-80.80394, 46.75888)",3409.0
