ms_uri,GroupID
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__37,ALL423
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1154,ALL423
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024522,ALL423
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__31,ALL343
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1143,ALL343
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068456,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024505,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279465",ALL343
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10256110,ALL816
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10256380,ALL2048
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10256199,ALL2231
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280204,ALL2657
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__27,ALL422
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2201,ALL422
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024570,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097453,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158826",ALL422
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1318,ALL426
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024514,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079607",ALL426
https://minmod.isi.edu/resource/site__w3id-org-usgs-z-4530692-4j6vp5m9__1,ALL426
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02617e997aed8a915bce54540938b7568fdd82d43a87b7e5a3b7805e0b2b614e2b,ALL4
https://minmod.isi.edu/resource/site__w3id-org-usgs-z-4530692-hcuf4gst__1,ALL4
https://minmod.isi.edu/resource/site__w3id-org-usgs-z-4530692-xm7acjdk__1,ALL4
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__he068,ALL37
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__si001,ALL119
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cv068,ALL149
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd036,ALL166
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sr231,ALL187
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mn00003,ALL295
https://minmod.isi.edu/resource/site__w3id-org-usgs-z-4530692-cgwu8xbq__1,ALL295
https://minmod.isi.edu/resource/site__w3id-org-usgs-z-4530692-xi5azb8u__1,ALL295
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00070,ALL299
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pr00001,ALL301
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pr00003,ALL301
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00205,ALL305
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10258293,ALL640
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10070549,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071983",ALL681
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10156501,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036803",ALL821
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10113140,ALL1008
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10000469,ALL1053
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096379,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10265993",ALL1130
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10149686,ALL1466
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10086618,ALL1588
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10169821,ALL1728
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10054775,ALL1828
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308784,ALL1949
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10124560,ALL2049
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142907,ALL2061
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10130845,ALL2157
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280145,ALL2183
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067572,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10232275,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10138628,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033769",ALL2260
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10053357,ALL2362
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10146643,ALL2363
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10220618,ALL2744
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038083,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001400",ALL2775
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tc059,ALL236
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__194,ALL268
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mi00001,ALL268
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400290,ALL268
https://minmod.isi.edu/resource/site__w3id-org-usgs-z-4530692-gacv4z6x__1,ALL268
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60001556,ALL1033
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__265,ALL260
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255248,ALL260
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230061,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085461",ALL260
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__441,ALL265
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mn00002,ALL265
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400947,ALL265
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__94,ALL269
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00207,ALL269
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282642,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039298",ALL269
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__6,ALL410
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__49,ALL410
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079604,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024495",ALL410
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006140,GROUP0
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006248,GROUP1
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005843,GROUP2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005842,GROUP3
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158039,GROUP4
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006139,GROUP5
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255223,GROUP6
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60001594,GROUP7
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10109594,GROUP8
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097684,GROUP9
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005975,GROUP10
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006143,GROUP11
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006118,GROUP12
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60001839,GROUP13
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158223,GROUP14
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005840,GROUP15
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__33,GROUP16
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__cajalbana,GROUP16
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__36,GROUP17
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__38,GROUP18
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__39,GROUP19
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__taco-bay,GROUP19
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__35,GROUP20
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1153,GROUP20
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000605,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230440",GROUP20
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__nicaro,GROUP20
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__34,GROUP21
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1152,GROUP21
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000604,GROUP22
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069379,GROUP23
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079614,GROUP24
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279799,GROUP25
