ms_uri_1,ms_uri_2
site__mrdata-usgs-gov-mrds__10002680,site__mrdata-usgs-gov-mrds__10002680
site__mrdata-usgs-gov-ree__624,site__mrdata-usgs-gov-ree__624
site__mrdata-usgs-gov-mrds__10165506,site__mrdata-usgs-gov-mrds__10165506
site__doi-org-10-5066-p96mmrfd__de022,site__doi-org-10-5066-p96mmrfd__de022
site__mrdata-usgs-gov-carbonatite__4,site__mrdata-usgs-gov-carbonatite__4
site__mrdata-usgs-gov-carbonatite__4,site__mrdata-usgs-gov-mrds__10068132
site__mrdata-usgs-gov-carbonatite__4,site__doi-org-10-2113-econgeo-110-8-1925__araxa-113
site__mrdata-usgs-gov-mrds__10068132,site__mrdata-usgs-gov-carbonatite__4
site__mrdata-usgs-gov-mrds__10068132,site__mrdata-usgs-gov-mrds__10068132
site__mrdata-usgs-gov-mrds__10068132,site__doi-org-10-2113-econgeo-110-8-1925__araxa-113
site__doi-org-10-2113-econgeo-110-8-1925__araxa-113,site__mrdata-usgs-gov-carbonatite__4
site__doi-org-10-2113-econgeo-110-8-1925__araxa-113,site__mrdata-usgs-gov-mrds__10068132
site__doi-org-10-2113-econgeo-110-8-1925__araxa-113,site__doi-org-10-2113-econgeo-110-8-1925__araxa-113
site__mrdata-usgs-gov-mrds__10016948,site__mrdata-usgs-gov-mrds__10016948
site__mrdata-usgs-gov-ree__472,site__mrdata-usgs-gov-ree__472
site__mrdata-usgs-gov-ree__773,site__mrdata-usgs-gov-ree__773
site__mrdata-usgs-gov-mrds__10011225,site__mrdata-usgs-gov-mrds__10011225
site__doi-org-10-5066-p96mmrfd__wi084,site__doi-org-10-5066-p96mmrfd__wi084
site__doi-org-10-5066-p96mmrfd__wi084,site__mrdata-usgs-gov-mrds__10009500
site__doi-org-10-5066-p96mmrfd__wi084,site__mrdata-usgs-gov-mrds__10232806
site__mrdata-usgs-gov-mrds__10009500,site__doi-org-10-5066-p96mmrfd__wi084
site__mrdata-usgs-gov-mrds__10009500,site__mrdata-usgs-gov-mrds__10009500
site__mrdata-usgs-gov-mrds__10009500,site__mrdata-usgs-gov-mrds__10232806
site__mrdata-usgs-gov-mrds__10232806,site__doi-org-10-5066-p96mmrfd__wi084
site__mrdata-usgs-gov-mrds__10232806,site__mrdata-usgs-gov-mrds__10009500
site__mrdata-usgs-gov-mrds__10232806,site__mrdata-usgs-gov-mrds__10232806
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10014575
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087969
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10014452
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087945
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087947
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087960
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087944
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087946
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10014569
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10014444
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087970
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087972
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10014441
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10014568
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087971
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10087958
site__mrdata-usgs-gov-mrds__10014575,site__mrdata-usgs-gov-mrds__10014385
