ms_uri,source_id,record_id,country,state_or_province,other_names,location,crs,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,https://api.cdr.land/v1/docs/documents,021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,Brazil,Ceará,"","","",Pedra Branca Project,"Cobalt,Gold,Platinum,Nickel,Copper,platinum-group elements","Komatiite nickel-copper-PGE,Magnetite- dominant IOCG,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__af006,https://doi.org/10.5066/P96MMRFD,AF006,United States,Alaska,"",POINT (153.07 58.1),EPSG:4267,Muskomee Bay,"Lead,platinum-group elements,Gold","Iron oxide poly- metallic,Vein polymetallic"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt011,https://doi.org/10.5066/P96MMRFD,BT011,United States,Alaska,"",POINT (150.6308 66.4126),EPSG:4267,Unnamed (near Caribou Mountain),"Chromium,Nickel,platinum-group elements,Cobalt",Ophiolite chromium
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt012,https://doi.org/10.5066/P96MMRFD,BT012,United States,Alaska,"",POINT (150.739 66.4019),EPSG:4267,Unnamed (on upper Kanuti River),"Chromium,Nickel,Cobalt,platinum-group elements","Ophiolite chromium,U-M layered intrusion chromium"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt014,https://doi.org/10.5066/P96MMRFD,BT014,United States,Alaska,"",POINT (150.8769 66.2802),EPSG:4267,Unnamed (near lower Kanuti River),"Chromium,platinum-group elements,Cobalt,Nickel",Ophiolite chromium
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cs002,https://doi.org/10.5066/P96MMRFD,CS002,United States,Alaska,"",POINT (146.37 67.38),EPSG:4267,Levi Creek,"Chromium,platinum-group elements","Fluvial placer PGE,U-M layered intrusion chromium"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cs004,https://doi.org/10.5066/P96MMRFD,CS004,United States,Alaska,"",POINT (145.62 67.39),EPSG:4267,Christian River Chromium,"platinum-group elements,Chromium","Ophiolite chromium,U-M layered intrusion chromium"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__gu005,https://doi.org/10.5066/P96MMRFD,GU005,United States,Alaska,"",POINT (144.8 62),EPSG:4267,Nadina River,"platinum-group elements,Gold","Fluvial placer PGE,Fluvial placer gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__hg010,https://doi.org/10.5066/P96MMRFD,HG010,United States,Alaska,"",POINT (161.71 58.96),EPSG:4267,Clara Creek,"Gold,Chromium,platinum-group elements",Fluvial placer PGE
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__hg011,https://doi.org/10.5066/P96MMRFD,HG011,United States,Alaska,"",POINT (161.71 58.95),EPSG:4267,Dowry Creek,"platinum-group elements,Gold",Fluvial placer PGE
