ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__196,https://mrdata.usgs.gov/ree,196,Malawi,"",POINT (35.283333333333 -15.033333333333),EPSG:4326,"",Junguni,Tungsten,"alk-ig,Peralkaline igneous HFSE- REE,Apatite- nepheline- titanite intrusion"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__202,https://mrdata.usgs.gov/ree,202,Russia,"",POINT (33.783333333333 67.716666666667),EPSG:4326,"",Khibina (Khibiny),Tungsten,"Carbonatite REE,Apatite- nepheline- titanite intrusion,Peralkaline igneous HFSE- REE,alk-ig"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__203,https://mrdata.usgs.gov/ree,203,Canada,Ontario,POINT (-78.5 46.8),EPSG:4326,"",Kipawa Lake,"Feldspar,Tungsten,Uranium","Peralkaline igneous HFSE- REE,alk-ig"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__205,https://mrdata.usgs.gov/ree,205,Russia,"",POINT (134.41666666667 57.5),EPSG:4326,"",Konder,Tungsten,"alk-ig,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__214,https://mrdata.usgs.gov/ree,214,Norway,"",POINT (9.75 59),EPSG:4326,"",Langesundsfjord District (Larvik),Tungsten,"Peralkaline igneous HFSE- REE,alk-ig"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__218,https://mrdata.usgs.gov/ree,218,Guinea,"",POINT (-13.8 9.4666666666667),EPSG:4326,"","Los Archipelago (Los Islands, Iles de Los)","Tungsten,Zirconium","Apatite- nepheline- titanite intrusion,alk-ig,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__47,https://mrdata.usgs.gov/ree,47,Namibia,"",POINT (14.75 -20.35),EPSG:4326,"",Lofdal-Bergville,"Tungsten,Niobium","Peralkaline igneous HFSE- REE,Carbonatite niobium,carb,Fluvial placer REE,Carbonatite laterite REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__5,https://mrdata.usgs.gov/ree,5,Mali,"",POINT (0.05 20.066666666667),EPSG:4326,"",Anezrouf,"Wollastonite,Tungsten,Pyrite","Peralkaline igneous HFSE- REE,Apatite- nepheline- titanite intrusion,carb,Apatite intrusion REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__627,https://mrdata.usgs.gov/ree,627,United States,Alaska,POINT (-144.75 65.5),EPSG:4326,"",Circle,"Gold,Tungsten,Tin","Residual placer tin,placer-al,Fluvial placer tin,Paleoplacer tin,Fluvial placer tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__630,https://mrdata.usgs.gov/ree,630,United States,Alaska,POINT (-142 64.333333333333),EPSG:4326,"",Fortymile,"Tungsten,Lead,Gold,Tin,Mercury","Paleoplacer tin,Fluvial placer tungsten,Residual placer tin,placer-al,Fluvial placer tin"
