OBJECTID,GROUP_NAME,GROUP_ID,COMB_DEP_IDs,COMB_NAMES,COMB_DMEA,LONGITUDE,LATITUDE,STATE,COUNTY,COMM_PRIM,COMM_SEC_TER,DEP_TYPE,WORK_TYPE,MODEL,ALTERATION,REFS,PROD_t,PROD_pct_WO3,PROD_WO3_t,PROD_WO3_stu,RESOUR_t,RESOUR_pct_WO3,RESOUR_WO3,RANK,URL
1,Alhambra Mine,1,10006806 | 10159808 | 10187208,Wolframite | Alhambra Mine | Allumbra Mine,1828,-119.9722705,38.7277599,California,Alpine,"AU, AG, W","CU, PB, MO, ZN, W",,Underground,,,"Goodwin, 1957 | Jenkins, 1942a | Clark, 1977 | Tucker and Sampson, 1941",,,,,,,,4,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006806
2,Alpine Mine (Alpine County),2,10235345 | 10008549 | 10028001 | 10072386 | 10092535,Alpine | Alpine Mine,,-119.9725189,38.7320904,California,Alpine,W,"MO, FE, W",Contact Metamorphic,,,,"Clark, 1977 | Calif DOM Bull. 142, 1949 | Lemmon and Tweto, 1962 | Jenkins and others, 1949 | Maurer and Wallace, 1952",36,,,,,,,4,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10235345
3,Bull Run No. 1,3,10211238,Bull Run No. 1,,-119.9170816,38.479152,California,Alpine,W,AU,,,,,"Miller, 1981 | USBM MINERAL PROPERTY FILE 0060030094",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10211238
4,Burnside Mine,4,10101384 | 10235461 | 10028002 | 10072387,Valpine Mine | Burnside Mine | Valpine-Burnside Lake | Longshot | Valpine | Burnside Lake Calpine,,-119.8898464,38.7250571,California,Alpine,"AU, W",FE,,Surface,,,"Lemmon and Tweto, 1962 | Jenkins, 1942a | Maurer and Wallace, 1952 | Clark, 1977 | Wallace and others, 1954 | Engel and Shedd, 1954",,0.9,,,,,,4,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10101384
5,Cal-Pine Mine,5,10103175 | 10028011 | 10163154 | 10103218,Cal-Pine | Cal-Pine Mine Valpine | Valpine | Cal-Pine Mine,3194,-119.8984032,38.7310347,California,Alpine,"AU, W","AU, AG",Contact Metasomatic,Surface,,,"Clark, 1977 | Jenkins, 1942a | Maurer and Wallace, 1952 | Engel and Shedd, 1954",2576,,,,,,,4,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103175
6,Snodgrass Creek Prospect,6,10036245 | 10104029 | 10138243,Snodgrass Creek Prospect | Snod Grass,,-119.5709401,38.522296,California,Alpine,W,,Contact Metasomatic,,,,"Clark, 1977",,,,,,,,2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10036245
7,Uncle Billy Rogers Mine,7,10034929,Uncle Billy Rogers Mine | Altura | Brewers,,-119.9317766,38.7131198,California,Alpine,CU,"AU, AG, W",,,,,"Clark, 1977 | Jenkins, 1948",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034929
8,Zaca Mine,8,10006821 | 10211705 | 10008590,Tarshish | Zaca Mine & Mill | Zaca Mine | Colorado No 2 | Advance | Zaca,,-119.7031852,38.6681775,California,Alpine,"AU, AG, W","CU, PB, ZN, AG, W, SB",Vein | Hydrothermal Vein,Surface | Underground,,Silicification | ,"Sampson and Tucker, 1940 | Lemmon and Tweto, 1962 | Goodwin, 1957 | Gianella, 1938 | Evans, 1966 | Clark, 1977 | CAL ST MNG BUR RPRT NO. 17, P. 401.",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006821
9,Mountain Top,9,10260646,Mountain Top,,-119.9705502,38.8362636,California,El Dorado,AU,"CU, MO, AG, W",,,,,,,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10260646
10,Adrian Alexander,10,10076542 | 10139491,Adrian Alexander,3322,-119.3354149,36.9677583,California,Fresno,W,,,,,,"Wallace and others, 1954 | Symons and Davis, 1958 | Logan and others, 1951 | Krauskopf, 1953",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10076542
