OID_,source_ID,Lat_NAD83,Long_NAD83,dep_id,mrds_id,mas_id,site_name,names
0,MRDS_1,46.209083530100003,-113.146997100999997,10123742, ,0300230118,Abbot Property, 
1,MRDS_2,45.219593513800000,-112.024747524999995,10221643, ,0300570354,Alhambra, 
2,MRDS_3,46.587383540600001,-113.583416933999999,10173292, ,0300390310,Alps Mine, 
3,MRDS_4,45.242983692199999,-113.945107128000004,10105628,W013351,0160590160,Amagosa Mine,"Copper Queen, Crescent, Queen of the Hills Mine, Queen and Crescent"
4,MRDS_5,45.833183605899997,-113.584207086999996,60000385,D011308, ,Anaconda Range Area,Moose Lake District
5,MRDS_6,45.136813839900000,-115.400946861999998,10071477,W014893, ,Antimony Rainbow Group Mine,Dokka
6,MRDS_7,46.580683540300001,-113.570916937999996,10124172,D001152,0300390066,Argo Mine, 
7,MRDS_8,45.137683709400001,-114.033107130000005,10070542,W013518, ,Baldy Mtn. Tungsten Occurrence, 
8,MRDS_9,46.444883531300000,-113.366187007999997,10019267,DC09345, ,Bear and Float Prospect, 
9,MRDS_10,45.574893474299998,-111.960047471999999,10269907, ,0300570102,Beaverhead Nation Forest,Mountain Rose Claim
10,MRDS_11,44.279873919800004,-115.470137007999995,10266461, ,0160850015,B. E. & L. Prospect,B.E.&L.
11,MRDS_12,46.927703211800001,-110.528027511999994,10196420, ,0300450011,"Ben Franklin,Sarsfield,Sheridan C","Sheridan, Laims, Ben Franklin"
12,MRDS_13,46.216823530600003,-113.150897099000005,10019068,DC08475, ,Ben G  Prospect, 
13,MRDS_14,45.662993453799999,-111.823947484000001,10124840, ,0300570035,Bessie and Golden Wave Mine, 
14,MRDS_15,46.575983563999998,-113.806726890999997,10220973, ,0300390510,Bet Claims, 
15,MRDS_16,44.535823731800001,-113.692207310000001,10096402,W015815, ,Beverly Ann Prospect,"Gini & Macdonald Property, Beverly Ann, Rosebud Claims"
16,MRDS_17,46.213773523400000,-113.077837114000005,10094778,DC08474, ,Big Bear Prospect, 
17,MRDS_18,46.965733226300003,-110.713047462999995,10096465,W026530, ,Big Ben Molybdenum, 
18,MRDS_19,45.154873829800003,-115.310346875999997,10217544,W015419,0160850128,Big Creek Placers,Smith Creek- Big Creek Placers
19,MRDS_20,46.083213526800002,-112.992557157999997,10094802,DC10659, ,Big Six Prospect, 
20,MRDS_21,44.324283839600000,-114.644517159000003,10216548, ,0160370949,Billy John 1-2,Billy John 1 & 2
21,MRDS_22,46.013783472000000,-112.359197304000006,10042414,M060190, ,Birdie Mine, 
22,MRDS_23,46.863773444000003,-112.847287027999997,10015918,DB02208, ,Blackfoot Mine,Blackfoot Gold Mine
23,MRDS_24,45.428483585300000,-112.990577286000004,10147976,FS00081,0300010078,Blackmore, 
24,MRDS_25,46.142983544899998,-113.234497095999998,10124119, ,0300230026,Black Shirt, 
25,MRDS_26,47.083793207500001,-110.632497456999999,10089197,W014740, ,Block P Mine,"Wright - Edwards, Barker"
26,MRDS_27,46.221273522799997,-113.082007111999999,10019434,DC10045, ,Blue Bottle  Prospect, 
27,MRDS_28,46.598503401300000,-112.170307225000002,10019443,DC10332, ,Blue Cloud, 
28,MRDS_29,46.938503207600000,-110.496417516999998,10172757, ,0300450007,Blue Dick Mine, 
29,MRDS_30,44.612683712799999,-113.560287321999994,10008380,D000484, ,Bluejay, 
30,MRDS_31,45.479563836099999,-115.652666748000001,10192777, ,0160490916,"Blue Jay Mine/Sterling Silver 1,2,3","Sterling Silver Nos. 1, 2, and 3"
31,MRDS_32,46.817383496100000,-113.332016937000006,10124206, ,0300390410,Blue Moon Mine, 
32,MRDS_33,45.211783698399998,-113.979507127000005,10070439,W013376, ,Bob Moore Creek Prospect, 
33,MRDS_34,44.384883840000001,-114.713117135999994,10071091,W014306, ,Bonanza Mine,Bonanza Occurrence
