OID_,loc_source,source_ID,Tract_name,Area_Name,Name,Name_other,Country,State_Prov,County,Lat_NAD83,Long_NAD83,SiteStatus,Dev_Status,DevStatSo,SiteRank,SiteRankNo,Dep_type,DepTypeSo,I_POLYID,I_Distance,NR_I_LABEL,NR_I_NAME,NR_I_STYL,NR_I_LITH,NR_I_MNAGE,NR_I_MXAGE,SG_I_LAB,SG_I_NAME,SG_I_MJR1,SG_I_MJR2,SG_I_MJR3,SG_I_GNLTH,SG_I_MNAGE,SG_I_MXAGE,I_AGE,C_POLYID,C_Distance,NR_C_LAB,NR_C_NAME,NR_C_AGE,NR_C_LNME2,SG_C_LAB,SG_C_NAME,SG_C_MJR1,SG_C_MJR2,SG_C_MJR3,SG_C_GNLTH,SG_C_MNAGE,SG_C_MXAGE,MRDS_com1,MRDS_com2,MRDS_com3,KLEIN_met,IGS_ComL,MBMG_COM,DMEA_COM,MRDS_ore,MRDS_gangu,MRDS_othr,MRDS_PrRes,KLEIN_MTon,KLEIN_PrYr,SPANSKI_W,SPANSKI_Pr
0,DMEA_3,DMEA_3, , ,Tungsten Claims, ,USA,Idaho,Idaho,45.821401243499999,-115.680167432999994,Site, , ,1, , , ,2566,693.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , , , ,W, , , , , , , , 
1,DMEA_6,DMEA_6, , ,Pony Gulch Mine, ,USA,Idaho,Shoshone,47.587127575399997,-115.894797526000005,Site, , ,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , , , ,W, , , , , , , , 
2,IGS_101,IGS_101, , ,Brown Claim Group,Grover,USA,Idaho,Idaho,45.315921535999998,-115.671405753000002,Site,Raw Pros,IGS,1, , , ,364,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Au, Pb, Zn, Sb, W", , , , , , , , , , 
3,IGS_102,IGS_102; MRDS_162, , ,Little Giant Mine,Trinity; Unity,USA,Idaho,Idaho,45.263541801999999,-115.678195200000005,Site,Past Producer,MRDS,2, ,Vein/replacement,MRDS,364,23.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,"Ag, Au", ,"W, Pb, Zn", ,"Au, Ag, Cu, Pb, Zn, W", , ,"Argentite, Galena, Gold, Scheelite, Silver, Sphalerite, Tetrahedrite, Wolframite","Pyrite, Quartz", , , , , , 
4,IGS_103,IGS_103, , ,Unity Mine,Old Rescue Nos. 1-4; Rescue,USA,Idaho,Idaho,45.258331796000000,-115.683455273000007,Site,"Past Pro, Unknown",IGS,1, , , ,364,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Au, Ag, Zn, Pb, Cu, W", , , , , , , , , , 
5,IGS_105,IGS_105,Cretaceous GFTZ,Yellow Pine,Werdenhoff Prospect,Coveny; Keystone; Pueblo; Red Bluff,USA,Idaho,Valley,45.196034540799999,-115.346664966999995,Site,Past Pro,IGS,1, , , ,395,405.000000000000000,Tmg,Tertiary monzogranite suite,plutonic,"monzogranite, subordinate syenogranite (with biotite + minor hornblende)",Tertiary,Tertiary, , , , , , , , ,Tertiary,1415,181.000000000000000,Ysrcs,"Calc-silicate and biotite gneiss (predominantly metasedimentary rocks), in the Salmon River and Clearwater Mountains",Middle Proterozoic,metamorphosed calcareous rocks, , , , , , , , , , , , ,"Ag, Au, Zn, W, Pb, Cu, Sb", , , , , , , , , , 
6,IGS_106,IGS_106; KLEIN_33; MRDS_207, , ,New York Mine,Ace Gold Mine; Anaconda and Illinois; Anaconda & Illinois Claims (Included); Anaconda & Illinois Claims Included; Fall Creek; Shamrock,USA,Idaho,Idaho,45.838448700599997,-115.673613343000000,Site,Past Producer,MRDS,2, ,Vein/replacement,MRDS,2566,607.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,Au,"Zn, Pb","Ag, Fe, Mo, W","Au, Pb, Zn, W","Ag, Au, Pb, Zn, Fe, W", , ,"Galena, Scheelite, Sphalerite","Pyrite, Quartz", , ,2700, , , 
7,IGS_107,IGS_107; MRDS_311, , ,Strickna,Steckner Mine,USA,Idaho,Idaho,45.745611695100003,-115.315771877000003,Site,Unknown,MRDS,1, ,W Unknown,MRDS,2320,1296.000000000000000,Ktgdmx~,Cretaceous tonalitic to granodioritic migmatite,meta-plutonic,tonalitic to granodioritic migmatite,Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , ,W, ,"Au, Ag, W", , , , , , , , , , 
8,IGS_11,IGS_11, , ,Tungsten Point,Wilson Creek,USA,Idaho,Valley,44.346528624400001,-115.613890737000006,Site,Raw Pros,IGS,1, , , ,805,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,W, , , , , , , , , , 
9,IGS_113,IGS_113,Cretaceous GFTZ,Yellow Pine,Smith Creek Deposit, ,USA,Idaho,Valley,45.179024559399998,-115.358895072999999,Site, , ,1, , , ,395,782.000000000000000,Tmg,Tertiary monzogranite suite,plutonic,"monzogranite, subordinate syenogranite (with biotite + minor hornblende)",Tertiary,Tertiary, , , , , , , , ,Tertiary,1419,0.000000000000000,Zam,Anchor Meadow Formation,Late Proterozoic,metamorphosed calcareous rocks, , , , , , , , , , , , ,W, , , , , , , , , , 
