item,itemLabel
https://geokb.wikibase.cloud/entity/Q291,platinum-group elements
https://geokb.wikibase.cloud/entity/Q293,aluminum
https://geokb.wikibase.cloud/entity/Q295,antimony
https://geokb.wikibase.cloud/entity/Q297,arsenic
https://geokb.wikibase.cloud/entity/Q301,beryllium
https://geokb.wikibase.cloud/entity/Q302,bismuth
https://geokb.wikibase.cloud/entity/Q305,bromine
https://geokb.wikibase.cloud/entity/Q306,cadmium
https://geokb.wikibase.cloud/entity/Q307,calcium
https://geokb.wikibase.cloud/entity/Q311,cesium
https://geokb.wikibase.cloud/entity/Q312,chlorine
https://geokb.wikibase.cloud/entity/Q313,chromium
https://geokb.wikibase.cloud/entity/Q314,cobalt
https://geokb.wikibase.cloud/entity/Q315,copper
https://geokb.wikibase.cloud/entity/Q327,gallium
https://geokb.wikibase.cloud/entity/Q328,germanium
https://geokb.wikibase.cloud/entity/Q329,gold
https://geokb.wikibase.cloud/entity/Q330,hafnium
https://geokb.wikibase.cloud/entity/Q332,helium
https://geokb.wikibase.cloud/entity/Q334,hydrogen
https://geokb.wikibase.cloud/entity/Q335,indium
https://geokb.wikibase.cloud/entity/Q336,iodine
https://geokb.wikibase.cloud/entity/Q337,iron
https://geokb.wikibase.cloud/entity/Q338,iridium
https://geokb.wikibase.cloud/entity/Q342,lead
https://geokb.wikibase.cloud/entity/Q343,lithium
https://geokb.wikibase.cloud/entity/Q346,manganese
https://geokb.wikibase.cloud/entity/Q349,mercury
https://geokb.wikibase.cloud/entity/Q350,molybdenum
https://geokb.wikibase.cloud/entity/Q354,nickel
https://geokb.wikibase.cloud/entity/Q355,niobium
https://geokb.wikibase.cloud/entity/Q358,osmium
https://geokb.wikibase.cloud/entity/Q360,palladium
https://geokb.wikibase.cloud/entity/Q362,platinum
https://geokb.wikibase.cloud/entity/Q365,potassium
https://geokb.wikibase.cloud/entity/Q369,radium
https://geokb.wikibase.cloud/entity/Q371,rhenium
https://geokb.wikibase.cloud/entity/Q372,rhodium
https://geokb.wikibase.cloud/entity/Q373,rubidium
https://geokb.wikibase.cloud/entity/Q374,ruthenium
https://geokb.wikibase.cloud/entity/Q377,scandium
https://geokb.wikibase.cloud/entity/Q379,selenium
https://geokb.wikibase.cloud/entity/Q381,silver
https://geokb.wikibase.cloud/entity/Q383,strontium
https://geokb.wikibase.cloud/entity/Q384,sulfur
https://geokb.wikibase.cloud/entity/Q385,tantalum
https://geokb.wikibase.cloud/entity/Q387,tellurium
https://geokb.wikibase.cloud/entity/Q389,thallium
https://geokb.wikibase.cloud/entity/Q390,thorium
https://geokb.wikibase.cloud/entity/Q392,tin
https://geokb.wikibase.cloud/entity/Q393,titanium
https://geokb.wikibase.cloud/entity/Q394,tungsten
https://geokb.wikibase.cloud/entity/Q398,uranium
https://geokb.wikibase.cloud/entity/Q399,vanadium
https://geokb.wikibase.cloud/entity/Q403,zinc
https://geokb.wikibase.cloud/entity/Q404,zirconium
https://geokb.wikibase.cloud/entity/Q407,abrasive
https://geokb.wikibase.cloud/entity/Q408,corundum abrasive
https://geokb.wikibase.cloud/entity/Q409,emery abrasive
https://geokb.wikibase.cloud/entity/Q410,garnet abrasive
https://geokb.wikibase.cloud/entity/Q411,refinery silver
https://geokb.wikibase.cloud/entity/Q412,contained or metal aluminum
https://geokb.wikibase.cloud/entity/Q413,high alumina clay aluminum
https://geokb.wikibase.cloud/entity/Q417,refinery gold
https://geokb.wikibase.cloud/entity/Q418,boron-borates
https://geokb.wikibase.cloud/entity/Q419,barium-barite
https://geokb.wikibase.cloud/entity/Q420,cement rock
https://geokb.wikibase.cloud/entity/Q421,clay
https://geokb.wikibase.cloud/entity/Q422,ball clay
https://geokb.wikibase.cloud/entity/Q423,brick clay
https://geokb.wikibase.cloud/entity/Q424,bloating material clay
https://geokb.wikibase.cloud/entity/Q425,bentonite clay
https://geokb.wikibase.cloud/entity/Q426,chlorite clay
https://geokb.wikibase.cloud/entity/Q427,fullers earth clay
https://geokb.wikibase.cloud/entity/Q428,fire (refractory) clay
https://geokb.wikibase.cloud/entity/Q429,glauconite clay
https://geokb.wikibase.cloud/entity/Q430,general clay
https://geokb.wikibase.cloud/entity/Q431,hectorite clay
https://geokb.wikibase.cloud/entity/Q432,kaolin clay
https://geokb.wikibase.cloud/entity/Q433,montmorillonite clay
https://geokb.wikibase.cloud/entity/Q434,carbon dioxide
https://geokb.wikibase.cloud/entity/Q437,bituminous coal
https://geokb.wikibase.cloud/entity/Q438,lignite coal
https://geokb.wikibase.cloud/entity/Q439,subbituminous coal
https://geokb.wikibase.cloud/entity/Q440,ferrochrome chromium
https://geokb.wikibase.cloud/entity/Q441,oxide copper
https://geokb.wikibase.cloud/entity/Q442,sulfide copper
https://geokb.wikibase.cloud/entity/Q443,diatomite
https://geokb.wikibase.cloud/entity/Q446,fluorine-fluorite
https://geokb.wikibase.cloud/entity/Q447,pig iron
https://geokb.wikibase.cloud/entity/Q448,pyrite iron
https://geokb.wikibase.cloud/entity/Q450,flint
https://geokb.wikibase.cloud/entity/Q451,Natural gas
https://geokb.wikibase.cloud/entity/Q452,gemstone
https://geokb.wikibase.cloud/entity/Q454,emerald
https://geokb.wikibase.cloud/entity/Q455,jade
https://geokb.wikibase.cloud/entity/Q456,ruby
https://geokb.wikibase.cloud/entity/Q457,sapphire
https://geokb.wikibase.cloud/entity/Q458,semiprecious gemstone
https://geokb.wikibase.cloud/entity/Q459,geothermal
https://geokb.wikibase.cloud/entity/Q461,carbon graphite
https://geokb.wikibase.cloud/entity/Q462,granite
https://geokb.wikibase.cloud/entity/Q463,gypsum-anhydrite
https://geokb.wikibase.cloud/entity/Q464,alabaster gypsum-anhydrite
