minmod_id,CommodityinMRDS,CommodityinGeoKb,IDinGeoKB,Code
,Ash,,,ASH
,Beryllium,,,BE
,Bromine,,,BR
,Calcium,,,CA
,Cesium,,,CS
,Chlorine,,,CL
,"Clay, Bentonite",,,CLY_BN
,Coal,,,COA
,Diatomite,,,DIT
,Energy,,,_E
,Flagstone,,,STN_F
,Flint,,,FLN
,Gallium,,,GA
,"Gemstone, Jade",,,GEM_J
,Germanium,,,GE
,Granite,,,GRT
,Hydrogen,,,H
,Iridium,,,PGE_IR
,"Lead, Refiner",,,PB_R
,"Lead, Smelter",,,PB_S
,Limestone,,,LST
,Marble,,,MBL
,Metal,,,_M
,"Nickel, Laterite",,,NI_L
,"Nickel, Refiner",,,NI_R
,"Nickel, Smelter",,,NI_S
,Olivine,,,OLV
,Osmium,,,PGE_OS
,Palladium,,,PGE_PD
,Peat,,,PEA
,Perlite,,,PER
,Petroleum (Oil),,,OIL
,"Petroleum (Oil), Gilsonite",,,OIL_G
,"Petroleum (Oil), Oil Sands",,,OIL_SA
,"Petroleum (Oil), Oil Shale",,,OIL_SH
,"Petroleum (Oil), Rock Asphalt",,,OIL_R
,Phosphorus-Phosphates,,,P
,Platinum,,,PGE_PT
,Pumice,,,PUM
,Pyrite,,,PYR
,Pyrophyllite,,,PPY
,Quartz,,,QTZ
,Radium,,,RA
,Rhenium,,,RE
,Rhodium,,,PGE_RH
,Rubidium,,,RB
,Ruthenium,,,PGE_RU
,Sand,,,SD
,Sand and Gravel,,,SDG
,Scandium,,,SC
,Selenium,,,SE
,Silica,,,SIL
,"Silica, Ferrosilicon",,,SIL_F
,Slate,,,SLA
,Sodium,,,NA
,"Sodium, Halite",,,NA_H
,"Sodium, Salt",,,NA_S
,Staurolite,,,STA
,Stone,,,STN
,"Stone, Crushed/Broken",,,STN_C
,"Stone, Dimension",,,STN_D
,Strontium,,,SR
,Sulfides,,,SUL
,Sulfur,,,S
,"Sulfur, Iron Pyrite",,,S_P
,"Sulfur, Sulfuric Acid",,,S_A
,Talc-Soapstone,,,TLC
,Tantalum,,,TA
,"Tantalum, Tin Slag",,,TA_S
,Tellurium,,,TE
,Thallium,,,TL
,Thorium,,,TH
,"Tin, Tailings",,,SN_T
,Titanium,,,TI
,"Titanium, Heavy Minerals",,,TI_HM
,"Titanium, Ilmenite",,,TI_I
,"Titanium, Metal",,,TI_M
,"Titanium, Pigment",,,TI_P
,"Titanium, Rutile",,,TI_R
,Travertine,,,TRA
,Tungsten,,,W
,"Tungsten, Mill Concentrate",,,W_C
,"Tungsten, Refinery",,,W_R
,Vanadium,,,V
,Vermiculite,,,VRM
,Volcanic Materials,,,VOL
,Water,,,H2O
,Wollastonite,,,WOL
,Zeolites,,,ZEO
,"Zinc, Refiner",,,ZN_R
,"Zinc, Smelter",,,ZN_S
,Zirconium,,,ZR
,rare earth elements,,,REE
