ms_uri,source_id,record_id,other_names,country,state_or_province,location,crs,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__ak-sug-aksug-1656,https://doi.org/10.5382/econgeo.2018.4590,ak-sug-aksug__1656,"",Russia,"","",EPSG:4326,Ak-Sug (Aksug),"Rhenium,Gold,Copper,Molybdenum",Porphyry
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__blue-caribou-386,https://doi.org/10.5382/econgeo.2018.4590,blue-caribou__386,"",Canada,"","",EPSG:4326,Blue Caribou,"Silver,Rhenium,Copper,Gold,Molybdenum",Porphyry
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__cumo-2089,https://doi.org/10.5382/econgeo.2018.4590,cumo__2089,"",United States,"","",EPSG:4326,Cumo,"Rhenium,Silver,Tungsten,Molybdenum,Copper","Cu-Mo-Ag,Porphyry"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__ellatsite-ellatzite-352,https://doi.org/10.5382/econgeo.2018.4590,ellatsite-ellatzite__352,"",Bulgaria,"","",EPSG:4326,Ellatsite (Ellatzite),"Palladium,Molybdenum,Rhodium,Gold,Platinum,Copper,Rhenium,Silver",Porphyry
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__hushamu-491,https://doi.org/10.5382/econgeo.2018.4590,hushamu__491,"",Canada,"","",EPSG:4326,Hushamu,"Molybdenum,Rhenium,Copper,Gold",Porphyry
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__kalman-161,https://doi.org/10.5382/econgeo.2018.4590,kalman__161,"",Australia,"","",EPSG:4326,Kalman,"Copper,Gold,Silver,Rhenium,Molybdenum","Cloncurry-type,IOCG"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__merlin-188,https://doi.org/10.5382/econgeo.2018.4590,merlin__188,"",Australia,"","",EPSG:4326,Merlin,"Gold,Lead,Cobalt,Rhenium,Zinc,Silver,Molybdenum,Copper","Cloncurry-type,IOCG"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__muratdere-2012,https://doi.org/10.5382/econgeo.2018.4590,muratdere__2012,"",Turkey,"","",EPSG:4326,Muratdere,"Copper,Gold,Silver,Molybdenum,Rhenium","Cu-Mo,Porphyry"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__red-bird-608,https://doi.org/10.5382/econgeo.2018.4590,red-bird__608,"",Canada,"","",EPSG:4326,Red Bird,"Molybdenum,Rhenium,Copper",Porphyry
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__snowfield-646,https://doi.org/10.5382/econgeo.2018.4590,snowfield__646,"",Canada,"","",EPSG:4326,Snowfield,"Gold,Copper,Molybdenum,Silver,Rhenium",Porphyry
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__surdulica-group-1788,https://doi.org/10.5382/econgeo.2018.4590,surdulica-group__1788,"",Serbia,"","",EPSG:4326,Surdulica Group,"Silver,Copper,Molybdenum,Rhenium",Porphyry
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__teghout-68,https://doi.org/10.5382/econgeo.2018.4590,teghout__68,"",Armenia,"","",EPSG:4326,Teghout,"Copper,Silver,Gold,Rhenium,Molybdenum",Porphyry
