ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity,deposit_type
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__tallas-tuliniemi,https://doi.org/10.5382/econgeo.4950,Tallas-Tuliniemi,Tallas-Tuliniemi,Finland,"","",EPSG:4326,nickel,"Magmatic Sulphide,Small M-UM Intrusion-related"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__xiarihamu,https://doi.org/10.5382/econgeo.4950,Xiarihamu,Xiarihamu,China,"","",EPSG:4326,nickel,"Small M-UM Intrusion-related,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__crawford,https://doi.org/10.5382/econgeo.4950,Crawford,Crawford,Canada,"","",EPSG:4326,"cobalt,nickel","Magmatic Sulphide,Archean komatiite,Archean Komatiite"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__gebe-island,https://doi.org/10.5382/econgeo.4950,Gebe Island,Gebe Island,Indonesia,"","",EPSG:4326,nickel,"Oxide-Hydrous Mg silicate,Laterite,Oxide-hydrous Mg silicate"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__kuhmo-arola,https://doi.org/10.5382/econgeo.4950,Kuhmo-Arola,Kuhmo-Arola,Finland,"","",EPSG:4326,nickel,"IOCG,Hydrothermal Ni"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__vesilaskujanka,https://doi.org/10.5382/econgeo.4950,Vesilaskujänkä,Vesilaskujänkä,Finland,"","",EPSG:4326,"nickel,cobalt","Hydrothermal Ni,VMS"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__bou-azzer,https://doi.org/10.5382/econgeo.4950,Bou-Azzer,Bou-Azzer,Morocco,"","",EPSG:4326,"cobalt,nickel","Small M-UM Intrusion-related,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__pulau-gag-island-limonite,https://doi.org/10.5382/econgeo.4950,Pulau-Gag Island (Limonite),Pulau-Gag Island (Limonite),Indonesia,"","",EPSG:4326,"nickel,cobalt","Laterite,Oxide-Hydrous Mg silicate,Oxide-hydrous Mg silicate"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__santa-fe-ipora,https://doi.org/10.5382/econgeo.4950,Santa Fé-Iporá,Santa Fé-Iporá,Brazil,"","",EPSG:4326,"nickel,cobalt","Laterite,Hydrous Mg silicate"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__ambatovy-jv-incl-anamalay,https://doi.org/10.5382/econgeo.4950,Ambatovy JV (incl. Anamalay),Ambatovy JV (incl. Anamalay),Madagascar,"","",EPSG:4326,"cobalt,nickel","Oxide-hydrous Mg silicate,Laterite,Oxide-Hydrous Mg silicate"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__jimberlana-bronzite-ridge,https://doi.org/10.5382/econgeo.4950,Jimberlana-Bronzite Ridge,Jimberlana-Bronzite Ridge,Australia,"","",EPSG:4326,"cobalt,nickel","Oxide-Clay Silicate,Laterite,Oxide-clay silicate,Oxide-Clay silicate"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__maseve-1-3,https://doi.org/10.5382/econgeo.4950,Maseve-1 / 3,Maseve-1 / 3,South Africa,"","",EPSG:4326,nickel,"Magmatic Sulphide,Stratabound Stratiform Reef-type,Layered Intrusive"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__cagdianao-gfh,https://doi.org/10.5382/econgeo.4950,Cagdianao (GFH),Cagdianao (GFH),Philippines,"","",EPSG:4326,nickel,"Oxide,Oxide?,Laterite"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__maturi-southwest,https://doi.org/10.5382/econgeo.4950,Maturi Southwest,Maturi Southwest,USA,"",POINT (-91.8 47.8),EPSG:4326,"nickel,cobalt","Small M-UM Intrusion-related,Magmatic Sulphide,Duluth Complex - Keweenawan LIP"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__nyngan-west-lynn,https://doi.org/10.5382/econgeo.4950,Nyngan-West Lynn,Nyngan-West Lynn,Australia,"","",EPSG:4326,"cobalt,nickel","Laterite,Oxide-Clay silicate,Oxide-Clay Silicate,Oxide-clay silicate"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__juzhno-konzhozero,https://doi.org/10.5382/econgeo.4950,Juzhno-Konzhozero,Juzhno-Konzhozero,Russia,"","",EPSG:4326,nickel,"Archean komatiite,Magmatic Sulphide,Archean Komatiite"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__smokey-hills,https://doi.org/10.5382/econgeo.4950,Smokey Hills,Smokey Hills,South Africa,"","",EPSG:4326,nickel,"Layered Intrusive,Stratabound Stratiform Reef-type,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__weld-range-laterite,https://doi.org/10.5382/econgeo.4950,Weld Range (laterite),Weld Range (laterite),Australia,"","",EPSG:4326,"nickel,cobalt","Oxide-Hydrous Mg silicate,Oxide-hydrous Mg silicate,Laterite"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__sidamo,https://doi.org/10.5382/econgeo.4950,Sidamo,Sidamo,Ethiopia,"","",EPSG:4326,nickel,"Laterite,Hydrous Mg silicate-clay silicate-oxide"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__chieftains-plain-walhalla,https://doi.org/10.5382/econgeo.4950,Chieftains Plain-Walhalla,Chieftains Plain-Walhalla,South Africa,"","",EPSG:4326,nickel,"Stratabound Stratiform Reef-type,Layered Intrusive,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__owendale,https://doi.org/10.5382/econgeo.4950,Owendale,Owendale,Australia,"","",EPSG:4326,"cobalt,nickel","Oxide?,Laterite,Oxide"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__niwest-macey-hill,https://doi.org/10.5382/econgeo.4950,NiWest-Macey Hill,NiWest-Macey Hill,Australia,"","",EPSG:4326,"nickel,cobalt","Clay silicate,Laterite"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__lawlers,https://doi.org/10.5382/econgeo.4950,Lawlers,Lawlers,Australia,"","",EPSG:4326,"cobalt,nickel","Oxide?,Oxide,Laterite"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__dinapigue,https://doi.org/10.5382/econgeo.4950,Dinapigue,Dinapigue,Philippines,"","",EPSG:4326,nickel,"Laterite,Oxide-hydrous Mg silicate,Oxide-Hydrous Mg silicate"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__fisher-east,https://doi.org/10.5382/econgeo.4950,Fisher East,Fisher East,Australia,"","",EPSG:4326,nickel,"Magmatic Sulphide,Archean komatiite,Archean Komatiite"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__kingash-kuyovsky,https://doi.org/10.5382/econgeo.4950,Kingash-Kuyovsky,Kingash-Kuyovsky,Russia,"","",EPSG:4326,"nickel,cobalt","Siberian Traps LIP,Magmatic Sulphide,Small M-UM Intrusion-related"
