ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428,https://api.cdr.land/v1/docs/documents,0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428,Canada,British Columbia,"","","",NI 43-101 Technical Report for the Fir Project in North America dated November 2004.pdf,"Uranium,Niobium,Tantalum","Carbonatite,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__026d0268d33cae0b631951fa7e8de2c081662862f437f4b6940ca9078a86f49c79,https://api.cdr.land/v1/docs/documents,026d0268d33cae0b631951fa7e8de2c081662862f437f4b6940ca9078a86f49c79,Canada,British Columbia,"","","",Blue River Project,"Tantalum,Niobium","Arc U-M intrusion titanium- vanadium,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,magmatic carbonatite"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef,https://api.cdr.land/v1/docs/documents,02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef,Canada,Quebec,POINT(-72.816667 49.5),EPSG:4326,"",Crevier Project,"Tantalum,Niobium","Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,Supergene vanadium,niobium-tantalum mineralization,pegmatite-nepheline syenite dyke,uranium-niobium mineralization"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02b01293f6e6332f8b14d7c1034004307fcf9f3281411948ef75fb55c6cc077cbb,https://api.cdr.land/v1/docs/documents,02b01293f6e6332f8b14d7c1034004307fcf9f3281411948ef75fb55c6cc077cbb,Canada,Quebec,"","","","NI 43-101 Technical Report for the Rupert project in Canada dated December, 2021.pdf",Tantalum,"Bimodal-mafic VMS,Chromite deposit,Diamond,Lacustrine brine lithium,Lacustrine clay lithium,Lithium in rare-elements pegmatite,Magmatic nickel-copper sulfide deposit,NYF pegmatite,U-M conduit nickel-copper- PGE,Volcanic massive sulfides"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d885ccf78334b6b1d18279685aba92c06117dec2975a1ccb81624c7a2bb750e3,https://api.cdr.land/v1/docs/documents,02d885ccf78334b6b1d18279685aba92c06117dec2975a1ccb81624c7a2bb750e3,Canada,British Columbia,MULTIPOINT(-119.0 51.5),EPSG:4326,"",Blue River Project,"Niobium,Tantalum","Arc U-M intrusion titanium- vanadium,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,Magmatic,Replacement,Residual"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02e7ff83ac75a4749dcd3be7c2987b1402d9dc7f7f38b56299212c4f59a8cb4d64,https://api.cdr.land/v1/docs/documents,02e7ff83ac75a4749dcd3be7c2987b1402d9dc7f7f38b56299212c4f59a8cb4d64,Namibia,Chapai Nawabganj District,"","","",Rubicon-Helikon Project,"Lithium,Tantalum","Abyssal pegmatite REE,Fluvial placer niobium- tantalum,LCT pegmatite,Lacustrine clay lithium,Simple pegmatite"
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__118,https://doi.org/10.4095/295581,118,Australia,"",POINT(118.66667 -21.18333),EPSG:4326,"",Wodgina; Mount Cassiterite,"Niobium,Tin,Tantalum",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__78,https://doi.org/10.4095/295581,78,Australia,"",POINT(116.05389 -33.85889),EPSG:4326,"",Greenbushes,"Niobium,Tin,Tantalum",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__812,https://doi.org/10.4095/295581,812,Spain,"",POINT(-5.92361 41.00556),EPSG:4326,"",Golpejas; Bellita,"Tantalum,Tin",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt018,https://doi.org/10.5066/P96MMRFD,BT018,United States,Alaska,POINT (151.1472 66.0265),EPSG:4267,"",Unnamed (southeast of Sithylemenkat Lake),"Lead,Niobium,Tungsten,Tantalum,Arsenic,Copper,Bismuth,rare earth elements,Tin,Rubidium,Cesium",Greisen tin ±W-Mo
