ms_uri,source_id,record_id,country,location,crs,other_names,state_or_province,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__an001,https://doi.org/10.5066/P96MMRFD,AN001,United States,POINT (149.2962 61.7915),EPSG:4267,"",Alaska,Independence,"Molybdenum,Zinc,Silver,Lead,Tellurium,Tungsten,Gold,Arsenic,Copper","Mesozonal orogenic gold,Oxidized intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__an002,https://doi.org/10.5066/P96MMRFD,AN002,United States,POINT (149.4078 61.779),EPSG:4267,"",Alaska,Lucky Shot; Willow Creek Mines Inc.,"Lead,Antimony,Zinc,Gold,Tellurium,Arsenic,Copper","Alkalic epithermal gold ± Ag,Mesozonal orogenic gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__an005,https://doi.org/10.5066/P96MMRFD,AN005,United States,POINT (149.2431 61.8244),EPSG:4267,"",Alaska,Fern; Fern Gold Mining Co.; Fern Gold Leasing Co.; Fern & Goodell; Bartholf-Isaacs; Marmot,"Tellurium,Tungsten,Lead,Gold","Mesozonal orogenic gold,Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__an027,https://doi.org/10.5066/P96MMRFD,AN027,United States,POINT (149.3012 61.8105),EPSG:4267,"",Alaska,Schroff-O'Neil; Newman and Miller; Miller-Newman,"Zinc,Lead,Tellurium,Gold,Copper",Mesozonal orogenic gold
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd003,https://doi.org/10.5066/P96MMRFD,BD003,United States,POINT (144.20323 64.3603),EPSG:4267,"",Alaska,Blue Lead; Blue Lead Extension; Rob,"Gold,Lead,Tellurium,Silver,Tungsten,Arsenic,Antimony,Copper","Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd017,https://doi.org/10.5066/P96MMRFD,BD017,United States,POINT (144.2523 64.3445),EPSG:4267,"",Alaska,Gray Lead; Grey Lead; Hilltop; Rob,"Silver,Gold,Tungsten,Antimony,Tellurium,Arsenic,Copper,Lead","Mesozonal orogenic gold,Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd018,https://doi.org/10.5066/P96MMRFD,BD018,United States,POINT (144.2093 64.3512),EPSG:4267,"",Alaska,Grizzly Bear; Yellow Jacket,"Antimony,Lead,Copper,Silver,Gold,Tellurium,Arsenic,Tungsten","Oxidized intrusion- related gold,Reduced intrusion- related gold,Vein polymetallic"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd025,https://doi.org/10.5066/P96MMRFD,BD025,United States,POINT (144.1979 64.3624),EPSG:4267,"",Alaska,Michigan; Michigan Lode; Michigan Lead; Rob,"Lead,Tungsten,Copper,Tellurium,Arsenic,Antimony,Silver,Bismuth,Gold","Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd033,https://doi.org/10.5066/P96MMRFD,BD033,United States,POINT (144.9136 64.4526),EPSG:4267,"",Alaska,Pogo,"Gold,Silver,Molybdenum,Lead,Tellurium,Bismuth,Arsenic,Copper,Zinc","Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd048,https://doi.org/10.5066/P96MMRFD,BD048,United States,POINT (146.253 64.334),EPSG:4267,"",Alaska,Buckeye; Buckeye Pup,"Arsenic,Lead,Antimony,Tellurium,Gold,Bismuth,Silver","Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd054,https://doi.org/10.5066/P96MMRFD,BD054,United States,POINT (145.0272 64.4614),EPSG:4267,"",Alaska,Money Rock; Money-Rock; Rainbow; Aurora; Indian,"Bismuth,Arsenic,Gold,Tellurium","Epizonal orogenic gold,Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd055,https://doi.org/10.5066/P96MMRFD,BD055,United States,POINT (145.0867 64.4486),EPSG:4267,"",Alaska,West Pogo; ER,"Tellurium,Gold,Silver,Bismuth","Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd057,https://doi.org/10.5066/P96MMRFD,BD057,United States,POINT (144.227 64.3855),EPSG:4267,"",Alaska,Wolverine; Rob,"Copper,Tellurium,Silver,Arsenic,Tungsten,Antimony,Gold,Lead","Oxidized intrusion- related gold,Reduced intrusion- related gold,Vein polymetallic"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd058,https://doi.org/10.5066/P96MMRFD,BD058,United States,POINT (144.2168 64.3747),EPSG:4267,"",Alaska,Upper Trench/ Lower Trench; Rob,"Lead,Silver,Arsenic,Antimony,Gold,Tungsten,Tellurium,Copper","Oxidized intrusion- related gold,Reduced intrusion- related gold,Vein polymetallic"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd059,https://doi.org/10.5066/P96MMRFD,BD059,United States,POINT (144.2148 64.3404),EPSG:4267,"",Alaska,O'Reely; Oreely; Rob,"Silver,Tellurium,Gold,Copper,Tungsten,Lead,Arsenic,Antimony","Epizonal orogenic antimony ± gold,Vein polymetallic"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd073,https://doi.org/10.5066/P96MMRFD,BD073,United States,POINT (146.2451 64.3551),EPSG:4267,"",Alaska,Bald Knob,"Tellurium,Gold,Bismuth","Oxidized intrusion- related gold,Reduced intrusion- related gold"
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bd076,https://doi.org/10.5066/P96MMRFD,BD076,United States,POINT (146.2948 64.4966),EPSG:4267,"",Alaska,Lone Wolf,"Copper,Tellurium,Bismuth,Tungsten,Antimony,Gold",""
