country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,GroupID,loc_GroupID,GroupID_location
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063857,https://mrdata.usgs.gov/mrds,10063857,Pichincha,EPSG:4326,"",Tumba,"Lead,Arsenic,Lithium","Lacustrine clay lithium,Lacustrine brine lithium",GEO,ALL48,ALL48,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064123,https://mrdata.usgs.gov/mrds,10064123,Chimborazo,EPSG:4326,"",Chimborazo,"Iron,Lithium,Silver","Iron oxide poly- metallic,Iron silicate polymetallic,Paleochannel iron",GEO,ALL50,ALL50,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063419,https://mrdata.usgs.gov/mrds,10063419,Pichincha,EPSG:4326,"",Alangasi,"Arsenic,Sulfur,Lithium,Iron","Lacustrine clay lithium,Lacustrine brine lithium",GEO,ALL78,ALL78,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063699,https://mrdata.usgs.gov/mrds,10063699,Tungurahua,EPSG:4326,"",Banos,"Lithium,Manganese","Lacustrine brine lithium,Lacustrine clay lithium",GEO,ALL93,ALL93,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063768,https://mrdata.usgs.gov/mrds,10063768,Pichincha,EPSG:4326,"",Machachi,"Iron,Lithium","LCT pegmatite,Lacustrine brine lithium,Lacustrine clay lithium",GEO,ALL95,ALL95,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063860,https://mrdata.usgs.gov/mrds,10063860,Pichincha,EPSG:4326,"",Pomasqui,Lithium,"Lacustrine brine lithium,Lacustrine clay lithium",GEO,ALL197,ALL197,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063384,https://mrdata.usgs.gov/mrds,10063384,Pichincha,EPSG:4326,"",Unknown Name,"Lithium,Iron","Lacustrine clay lithium,Lacustrine brine lithium",GEO,ALL201,ALL201,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063765,https://mrdata.usgs.gov/mrds,10063765,Pichincha,EPSG:4326,"",Nono,"Boron-Borates,Lithium","Lacustrine brine lithium,Lacustrine clay lithium",GEO,ALL233,ALL233,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063324,https://mrdata.usgs.gov/mrds,10063324,"",EPSG:4326,"",San Nilas,"Manganese,Lithium,Boron-Borates","Lacustrine clay lithium,Lacustrine brine lithium",GEO,ALL236,ALL236,GROUP0
Ecuador,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063822,https://mrdata.usgs.gov/mrds,10063822,Chimborazo,EPSG:4326,"",Riobamba,"Lead,Silver,Lithium,Iron,Platinum",Lacustrine clay lithium,GEO,ALL323,ALL323,GROUP0
Argentina,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024752,https://mrdata.usgs.gov/mrds,10024752,Catamarca,EPSG:4326,"",Loma Pelada,Lithium,"Lacustrine clay lithium,Lacustrine brine lithium,LCT pegmatite",GEO,ALL52,ALL52,GROUP1
Argentina,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024750,https://mrdata.usgs.gov/mrds,10024750,Catamarca,EPSG:4326,"",La Herrumbrada,Lithium,"Lacustrine brine lithium,LCT pegmatite,Lacustrine clay lithium",GEO,ALL74,ALL74,GROUP1
