ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00001,https://mrdata.usgs.gov/deposit,AK00001,United States,Alaska,"POINT (-166.481008 65.652905),POINT (-167.103 65.5323)",EPSG:4326,"",Port Clarence District,"Tungsten,Tin,Niobium,Beryllium,Tantalum,Gold",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00002,https://mrdata.usgs.gov/deposit,AK00002,United States,Alaska,POINT (-157.800747 61.31704),EPSG:4326,"",Aniak District,"Zinc,Zirconium,Tungsten,Copper,Gold,Lead,Silver,Tin,Uranium,Mercury,Thorium",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00004,https://mrdata.usgs.gov/deposit,AK00004,United States,Alaska,POINT (-144.445245 65.460342),EPSG:4326,"",Circle District,"Tin,Thorium,Tungsten,rare earth elements,Uranium",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00005,https://mrdata.usgs.gov/deposit,AK00005,United States,Alaska,"POINT (-167.1689 65.4666),POINT (-167.166545 65.475309)",EPSG:4326,Cassiterite Dike,Lost River,"Tungsten,Tin,Beryllium","14b - Sn skarn,14b - Sn skarn deposits,15b - Sn veins,15c - Sn greisen,15c - Sn greisen deposits,39e - Alluvial placer Sn"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00006,https://mrdata.usgs.gov/deposit,AK00006,United States,Alaska,POINT (-152.652649 65.533644),EPSG:4326,"",Melozitna District,"rare earth elements,Silver,Tin,Titanium,Tungsten,Tantalum,Zirconium,Niobium,Gold",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00011,https://mrdata.usgs.gov/deposit,AK00011,United States,Alaska,"POINT (-157.4998 59.2286),POINT (-156.559922 59.630796)",EPSG:4326,"",Bristol Bay Region,"Gold,Molybdenum,Silver,Copper,Tin,Rhenium,platinum-group elements,Tungsten",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00014,https://mrdata.usgs.gov/deposit,AK00014,United States,Alaska,POINT (-165.3175 64.7248),EPSG:4326,"",Nome District,"Gold,Tungsten,Graphite",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00015,https://mrdata.usgs.gov/deposit,AK00015,United States,Alaska,POINT (-135.162 58.7587),EPSG:4326,Juneau gold belt,Juneau District,"Silver,Titanium,Tungsten,Iron,platinum-group elements,Copper,Vanadium,Gold",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00016,https://mrdata.usgs.gov/deposit,AK00016,United States,Alaska,POINT (-144.2655 64.0531),EPSG:4326,"",Goodpaster District,Tungsten,""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00031,https://mrdata.usgs.gov/deposit,AK00031,United States,Alaska,"POINT (-158.7769 62.662),POINT (-142.29133 63.647257)",EPSG:4326,"Draken Claims,Silver Lining Prospect",Iditarod District,"Uranium,Zinc,Gold,Arsenic,Copper,rare earth elements,Tungsten,Silver,Antimony,Lead,Thorium",polymetallic veins
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00031,https://mrdata.usgs.gov/deposit,AK00031,United States,Alaska,"POINT (-158.7769 62.662),POINT (-142.29133 63.647257)",EPSG:4326,"Draken Claims,Silver Lining Prospect",Draken Claims,"Uranium,Zinc,Gold,Arsenic,Copper,rare earth elements,Tungsten,Silver,Antimony,Lead,Thorium",polymetallic veins
