ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02276393c863f3336339dc29c47498a8a8547007845f583b0e9beaffa06beb9331,https://api.cdr.land/v1/docs/documents,02276393c863f3336339dc29c47498a8a8547007845f583b0e9beaffa06beb9331,Mexico,Sonora,POINT(-109.278 28.36),EPSG:4326,"",Los Verdes Project,"Copper,Tungsten","Breccia pipe molybdenum,Low-fluorine porphyry molybdenum,Porphyry copper ± gold,Porphyry copper- molybdenum,Skarn gold ± copper ± tungsten,porphyry molybdenite-copper-tungsten deposit"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02df8f322a4fc5a0bf4bd9467cb2f6cf12a0a7452721db3a7001e2d783cd72e937,https://api.cdr.land/v1/docs/documents,02df8f322a4fc5a0bf4bd9467cb2f6cf12a0a7452721db3a7001e2d783cd72e937,Germany,Saxony,POINT(13.75 50.75),EPSG:4326,"",NI 43-101 Technical Report for the Zinnwald Project in Germany dated May 2019.pdf,"Tin,Potassium,Lithium,Tungsten","Greisen beryllium±Li,Greisen tin ±W-Mo,Greisen tungsten- molybdenum±Bi,Lacustrine clay lithium,Skarn tin ± copper ± Mo"
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__o-callaghans-110,https://doi.org/10.1016/j.oregeorev.2016.08.010,o-callaghans__110,Australia,"","",EPSG:4326,"",O'Callaghans,"Lead,Tungsten,Copper,Zinc",Skarn
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__10,https://doi.org/10.4095/295581,10,Algeria,"",POINT(5.64722 22.53333),EPSG:4326,"",El-Karoussa - Tin-Amzi,"Tin,Tungsten",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__101,https://doi.org/10.4095/295581,101,Australia,"",POINT(148.90083 -34.49861),EPSG:4326,"",Rye Park,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__1013,https://doi.org/10.4095/295581,1013,Canada,"",POINT(-67.04639 46.36778),EPSG:4326,"",Sisson Brook,"Copper,Molybdenum,Tungsten",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__1021,https://doi.org/10.4095/295581,1021,Canada,"",POINT(-129.86945 62.77694),EPSG:4326,"",Clea; Hi-Min; Omo,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__104,https://doi.org/10.4095/295581,104,Australia,"",POINT(146.08139 -41.48972),EPSG:4326,"",Shepherd and Murphy,"Tungsten,Tin",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__11,https://doi.org/10.4095/295581,11,Algeria,"",POINT(5.44167 20.83056),EPSG:4326,"",Nahda; Laouni,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__114,https://doi.org/10.4095/295581,114,Australia,"",POINT(151.70000 -29.27500),EPSG:4326,"",Torrington,"Tungsten,Bismuth",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__115,https://doi.org/10.4095/295581,115,Australia,"",POINT(144.90000 -16.50000),EPSG:4326,"",Watershed,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__12,https://doi.org/10.4095/295581,12,Argentina,"",POINT(-69.58333 -30.36667),EPSG:4326,"",San Rafael,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__120,https://doi.org/10.4095/295581,120,Austria,"",POINT(12.48333 47.20000),EPSG:4326,"",Mittersill; Ferbertal,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__121,https://doi.org/10.4095/295581,121,Austria,"",POINT(11.71667 47.15000),EPSG:4326,"",Tux-Lanersbach,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__122,https://doi.org/10.4095/295581,122,Bhutan,"",POINT(90.39722 26.97222),EPSG:4326,"",Dholpani-Bhurkhola,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__123,https://doi.org/10.4095/295581,123,Bolivia,"",POINT(-67.78861 -16.54944),EPSG:4326,"",Bolsa Negra,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__124,https://doi.org/10.4095/295581,124,Bolivia,"",POINT(-67.77472 -16.40000),EPSG:4326,"",Chojlla,"Tungsten,Tin",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__125,https://doi.org/10.4095/295581,125,Bolivia,"",POINT(-67.76667 -16.38333),EPSG:4326,"",Enramada-Liliana,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__129,https://doi.org/10.4095/295581,129,Bolivia,"",POINT(-67.88333 -16.36667),EPSG:4326,"",Reconquistada,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__13,https://doi.org/10.4095/295581,13,Argentina,"",POINT(-65.40000 -30.81667),EPSG:4326,"",Agua de Ramon,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__151,https://doi.org/10.4095/295581,151,Bolivia,"",POINT(-66.19056 -20.61583),EPSG:4326,"",Tazna,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__153,https://doi.org/10.4095/295581,153,Bolivia,"",POINT(-66.97583 -17.16833),EPSG:4326,"",Amutara,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__155,https://doi.org/10.4095/295581,155,Bolivia,"",POINT(-67.33222 -16.93250),EPSG:4326,"",Caracoles,"Tin,Tungsten",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__156,https://doi.org/10.4095/295581,156,Bolivia,"",POINT(-67.21194 -17.00194),EPSG:4326,"",Chambillaya,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__157,https://doi.org/10.4095/295581,157,Bolivia,"",POINT(-66.84972 -17.31528),EPSG:4326,"",Chicote; Chicote Grande,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__159,https://doi.org/10.4095/295581,159,Bolivia,"",POINT(-67.89806 -16.18583),EPSG:4326,"",Ensueno,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__16,https://doi.org/10.4095/295581,16,Argentina,"",POINT(-67.08333 -27.63333),EPSG:4326,"",Grupo Minero del Valle,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__160,https://doi.org/10.4095/295581,160,Bolivia,"",POINT(-66.27583 -21.67194),EPSG:4326,"",Esmoraca,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__161,https://doi.org/10.4095/295581,161,Bolivia,"",POINT(-68.61139 -15.84722),EPSG:4326,"",Hucumarini,"Tungsten,Copper",""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__162,https://doi.org/10.4095/295581,162,Bolivia,"",POINT(-66.86667 -17.46667),EPSG:4326,"",Kami,Tungsten,""
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__163,https://doi.org/10.4095/295581,163,Bolivia,"",POINT(-66.18333 -21.70000),EPSG:4326,"",Pueblo Viejo,Tungsten,""
