ms_uri,GroupID
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00054,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00005",ALL162
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__490,ALL162
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__428,ALL162
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mi00001,ALL164
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400290,ALL164
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__362,ALL164
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pa00001,ALL167
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069387,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10083562",ALL167
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__446,ALL167
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mn00002,ALL175
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__364,ALL175
https://minmod.isi.edu/resource/site__w3id-org-usgs-z-4530692-7rvnpm2v__1,ALL175
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3020,ALL320
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10183219,ALL320
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__22,ALL320
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__27,ALL203
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2201,ALL203
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024570,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158826,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097453",ALL203
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__6,ALL307
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__49,ALL307
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079604,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024495",ALL307
