ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02204021e5b0dfc7ef8b406b88bacc57065753c872ac9722011e56da8d3fa9f1dd,https://api.cdr.land/v1/docs/documents,02204021e5b0dfc7ef8b406b88bacc57065753c872ac9722011e56da8d3fa9f1dd,United States,Nevada,POINT(118.13278 40.78222),EPSG:4326,"",Springer Project,Tungsten,"MVT fluorspar,MVT zinc-lead,Skarn,Skarn gold ± copper ± tungsten,Skarn tungsten ± Mo,Supergene uranium"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7,https://api.cdr.land/v1/docs/documents,026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7,United States,Nevada,"","","",Springer Project,Tungsten,"George Mineral Resource,Greisen tungsten- molybdenum±Bi,O'Byrne Mineral Resource,Skarn gold ± copper ± tungsten,Skarn tungsten ± Mo,Springer West Mineral Resource,Supergene vanadium,Sutton Mineral Resource (Indicated and Inferred),Vein tungsten"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02734402f2978235d2ee54fc974eff3e5afbd5a1a45b7c349420241d7d97f34107,https://api.cdr.land/v1/docs/documents,02734402f2978235d2ee54fc974eff3e5afbd5a1a45b7c349420241d7d97f34107,United States,Nevada,POINT(-118.132778 40.782222),EPSG:4326,"",Springer Project,Tungsten,"Fluvial placer tungsten,Porphyry tungsten,Skarn,Skarn gold ± copper ± tungsten,Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d035691e4b15b395875fab83bf4e8ef02419165b75099b57c418890790aa2f0c,https://api.cdr.land/v1/docs/documents,02d035691e4b15b395875fab83bf4e8ef02419165b75099b57c418890790aa2f0c,United States,Nevada,POINT(-115.0735 40.3820),EPSG:4326,"",Indian Springs Project,Tungsten,"Contact metasomatic tactite,Fluvial placer tungsten,Greisen,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Quartz-vein stockwork,Skarn gold ± copper ± tungsten,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02efb0834744be47bc0c287b7ed4b0f6b1d23c7cdba026207dda3ea6bff25d893b,https://api.cdr.land/v1/docs/documents,02efb0834744be47bc0c287b7ed4b0f6b1d23c7cdba026207dda3ea6bff25d893b,United States,Nevada,POINT(-118.117 40.783),EPSG:4326,"",Springer Project,"Tungsten,Copper,Molybdenum","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Scheelite-bearing contact metasomatic deposits,Skarn gold ± copper ± tungsten,Skarn tungsten ± Mo,Skarns,Tactites,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00001,https://mrdata.usgs.gov/deposit,CA00001,United States,California,POINT (-118.7184 37.3928),EPSG:4326,"","Pine Creek,['Pine Creek, Pine Creek deposit'],['Pine Creek, Pine Creek mine']","Tungsten,Copper,Molybdenum,Gold,Silver","14a - W skarn deposits,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00013,https://mrdata.usgs.gov/deposit,CA00013,United States,California,POINT (-118.5429 37.6755),EPSG:4326,"",Chidago Mining District,Tungsten,""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00014,https://mrdata.usgs.gov/deposit,CA00014,United States,California,POINT (-118.5009 37.2642),EPSG:4326,Tungsten Hills Mining District,"Bishop Mining District,['Bishop Mining District']","Pumice,Gold,Copper,Perlite,Molybdenum,Silver,Tungsten",Skarn tungsten ± Mo
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00015,https://mrdata.usgs.gov/deposit,CA00015,United States,California,POINT (-118.7074 37.3524),EPSG:4326,"","['Brownstone, Brownstone deposit'],Brownstone",Tungsten,"14a - W skarn deposits,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00016,https://mrdata.usgs.gov/deposit,CA00016,United States,California,POINT (-117.8772 35.6892),EPSG:4326,Hi-Peak Mine,"['Tungsten Peak, Tungsten Peak deposit'],['Tungsten Peak, Tungsten Peak mine'],Tungsten Peak",Tungsten,"14a - W skarn deposits,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00021,https://mrdata.usgs.gov/deposit,CA00021,United States,California,POINT (-118.666 37.3376),EPSG:4326,"Stevens ore body,Green ore body","['Tungstar, Tungstar mine'],['Tungstar, Tungstar deposit'],Tungstar",Tungsten,"14a - W skarn deposits,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00042,https://mrdata.usgs.gov/deposit,CA00042,United States,California,POINT (-118.5309 37.3468),EPSG:4326,"","Little Sister,['Little Sister, Little Sister deposit']",Tungsten,"14a - W skarn deposits,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00044,https://mrdata.usgs.gov/deposit,CA00044,United States,California,POINT (-119.1143 36.6362),EPSG:4326,"Drum Valley,Harrell Hill","['Consolidated Tungsten, Consolidated Tungsten deposit'],Consolidated Tungsten,['Consolidated Tungsten, Consolidated Tungsten mine']",Tungsten,"14a - W skarn deposits,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00056,https://mrdata.usgs.gov/deposit,CA00056,United States,California,POINT (-118.5282 37.6846),EPSG:4326,"","['Black Rock, Black Rock mine'],Black Rock,['Black Rock, Black Rock deposit']",Tungsten,"14a - W skarn deposits,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00057,https://mrdata.usgs.gov/deposit,CA00057,United States,California,POINT (-119.2945 37.5516),EPSG:4326,"No. 1 Mine,No. 7 Mine,No. 4 Mine","['Strawberry, Strawberry deposit'],['Strawberry, Strawberry mine'],Strawberry",Tungsten,"14a - W skarn deposits,Porphyry tungsten,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00058,https://mrdata.usgs.gov/deposit,CA00058,United States,California,POINT (-118.9213 36.2869),EPSG:4326,Big Jim,"['Tulare County Tungsten, Tulare County Tungsten mine'],['Tulare County Tungsten, Tulare County Tungsten deposit'],Tulare County Tungsten",Tungsten,"14a - W skarn deposits,Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00059,https://mrdata.usgs.gov/deposit,CA00059,United States,California,POINT (-118.6625 35.7932),EPSG:4326,Kennedy Mine,"Tungstore,['Tungstore, Tungstore mine'],['Tungstore, Tungstore deposit']",Tungsten,"14a - W skarn deposits,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00060,https://mrdata.usgs.gov/deposit,CA00060,United States,California,"POINT (-117.3302 35.7177),POINT (-117.327206 35.716747)",EPSG:4326,Searles Dry Lake,"Searles Lake,['Searles Lake, Searles Lake evaporite deposit'],['Searles Lake, Searles Lake mine'],['Searles Lake, Searles Lake brine deposit']","Tungsten,Lithium","Brine,Lacustrine brine lithium,Lacustrine evaporite borate,evaporites,lithium brine"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00061,https://mrdata.usgs.gov/deposit,CA00061,United States,California,POINT (-117.6169 35.3084),EPSG:4326,"","Atolia District,['Atolia District']",Tungsten,"Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00062,https://mrdata.usgs.gov/deposit,CA00062,United States,California,POINT (-117.6838 34.2569),EPSG:4326,"","Andrew Curtis,['Andrew Curtis, Andrew Curtis deposit'],['Andrew Curtis, Andrew Curtis mine']",Tungsten,"15a - W veins,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00066,https://mrdata.usgs.gov/deposit,CA00066,United States,California,POINT (-118.745899 34.8435),EPSG:4326,"",Gorman District,"Tin,Iron,Tungsten",Greisen tin ±W-Mo
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00069,https://mrdata.usgs.gov/deposit,CA00069,United States,California,POINT (-118.764482 34.826041),EPSG:4326,"",Crowbar Gulch,"Tungsten,Tin","Greisen tin ±W-Mo,Replacement tin,Skarn tin ± copper ± Mo,Sn skarn"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00001,https://mrdata.usgs.gov/deposit,ID00001,United States,Idaho,POINT (-115.3475 44.892),EPSG:4326,"Homestake pit,Stibnite","['Yellow Pine, Yellow Pine mine'],['Yellow Pine, Yellow Pine deposit'],['Yellow Pine, Hangar Flats mine'],['Yellow Pine, Historic tailings'],['Yellow Pine, West End deposit'],Yellow Pine,['Yellow Pine, Hangar Flats deposit']","Antimony,Gold,Silver,Tungsten","Disseminated pluton Au-Sb,Epizonal orogenic antimony ± gold,Late fault veins Au-As-Sb,Replacement in calcareous schists Au-Ag-Sb"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00002,https://mrdata.usgs.gov/deposit,ID00002,United States,Idaho,POINT (-115.3742 44.872),EPSG:4326,Stibnite Mining District,Yellow Pine Mining District,"Antimony,Tungsten,Gold,Silver",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00003,https://mrdata.usgs.gov/deposit,ID00003,United States,Idaho,POINT (-114.5861 44.3171),EPSG:4326,"Tungsten Jim,Salmon River,Scheelite Jim","Thompson Creek,['Thompson Creek, Tungsten Jim mine'],['Thompson Creek, Thompson Creek deposit'],['Thompson Creek, Tungsten Jim deposit'],['Thompson Creek, Thompson Creek mine']","Tungsten,Molybdenum,Rhenium","14a - W skarn deposits,Arc-related porphyry Mo,Breccia pipe molybdenum,Climax-type porphyry molybdenum,Greisen tungsten- molybdenum±Bi,Low-fluorine porphyry molybdenum,Skarn tungsten ± Mo"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00004,https://mrdata.usgs.gov/deposit,ID00004,United States,Idaho,POINT (-113.6775 44.5447),EPSG:4326,"",Blue Wing Mining District,"Lead,Silver,Gold,Copper,Tungsten,Zinc",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00022,https://mrdata.usgs.gov/deposit,ID00022,United States,Idaho,"POINT (-114.3828 44.384),POINT (-114.382815 44.383978)",EPSG:4326,NA,"Bayhorse District,Bayhorse Mining District","Copper,Rhenium,Tungsten,Molybdenum",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00033,https://mrdata.usgs.gov/deposit,ID00033,United States,Idaho,POINT (-115.728 44.0246),EPSG:4326,"",Grimes Pass Mining District,"Tungsten,Molybdenum,Silver,Copper,Sulfur,Rhenium",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00047,https://mrdata.usgs.gov/deposit,ID00047,United States,Idaho,"POINT (-115.783 44.0339),POINT (-115.782977 44.033937)",EPSG:4326,NA,"CuMo,CuMo Property,['CuMo, CuMo deposit'],['CUMO']","Copper,Silver,Gallium,Sulfur,Rhenium,Molybdenum,Tungsten","Climax-type porphyry molybdenum,Low-fluorine porphyry molybdenum,Porphyry Cu-Mo,Porphyry Mo-Cu"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00049,https://mrdata.usgs.gov/deposit,ID00049,United States,Idaho,POINT (-113.6927 44.5329),EPSG:4326,"",Ima,"Gold,Silver,Copper,Lead,Zinc,Tungsten",15a - W veins
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nv00107,https://mrdata.usgs.gov/deposit,NV00107,United States,Nevada,POINT (-117.429 40.9433),EPSG:4326,"","Golconda,['Golconda, Golconda deposit'],['Golconda, Golconda mine']","Manganese,Iron,Silica,Tungsten","25g - Epithermal Mn,Greisen tungsten- molybdenum±Bi,High-sulfidation (HS) epithermal silver-gold ± Cu,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nv00108,https://mrdata.usgs.gov/deposit,NV00108,United States,Nevada,POINT (-117.9114 39.007),EPSG:4326,Mammoth,Lodi Mining District,Tungsten,""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nv00109,https://mrdata.usgs.gov/deposit,NV00109,United States,Nevada,POINT (-117.9155 38.9753),EPSG:4326,Gabbs Tungsten Mine,"['Victory, Victory deposit'],['Victory, Victory mine'],Victory",Tungsten,"14a - W skarn deposits,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nv00110,https://mrdata.usgs.gov/deposit,NV00110,United States,Nevada,POINT (-118.1971 38.3169),EPSG:4326,"Examiner,Silver Dyke vein,Silver Dyke vein system,Noble ore shoot,Tungsten Dyke,Goodale ore shoot,Wagner-Beane ore shoot","['Silver Dyke, Silver Dyke mine'],Silver Dyke,['Silver Dyke, Silver Dyke deposit']",Tungsten,"22c - Polymetallic veins,Porphyry tungsten,Vein polymetallic,Vein tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nv00111,https://mrdata.usgs.gov/deposit,NV00111,United States,Nevada,POINT (-118.1952 38.3329),EPSG:4326,Gold Range,Silver Star Mining District,Tungsten,""
